Tuned?,Dataset,Regressor,Hyper-param-method,Validation-method,n-splits,score-train,score-test,MAE,MSE,RMSE,R2,best-params, cross_val_score,target-values,predicted-target-values
0,maxwell,CART,grid search,,3,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}","[-48311458.0, -57249438.875, -101394331.1875]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]"
1,maxwell,CART,grid search,KFold,3,0.5305648332875907,-0.2899635013886406,10535.205917159761,345357394.10430133,18583.79385659186,-28.999999999999996,"{'model__max_depth': 2, 'model__max_features': 0.3}","[-34709802.365232386, -26868961.148858685, -84436644.76475695]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10811.538461538461, 8256.2, 39479.0, 8256.2, 10811.538461538461, 2758.35, 10811.538461538461, 2758.35, 8256.2, 10811.538461538461, 2758.35, 2758.35, 8256.2]"
1,maxwell,CART,grid search,RepeatedKFold,3,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,-53.0,"{'model__max_depth': None, 'model__max_features': None}","[-87617528.47058824, -75962047.0625, -20733146.4375, -52463675.823529415, -82953384.8125, -22557376.0, -41896258.52941176, -23363074.4375, -55313912.5625]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]"
1,maxwell,CART,grid search,HoldOut,3,0.19619615605459917,-0.15377229405676007,10049.357142857143,308895400.86695445,17575.420361031323,-15.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",[-15873103.254595336],"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 5114.571428571428]"
1,maxwell,CART,grid search,RepeatedHoldOut,3,0.9534401550098767,-0.5077016837129031,10798.075874125874,403651672.32501435,20091.084398932137,-51.0,"{'model__max_depth': 5, 'model__max_features': None}","[-16850262.806634527, -22734641.6193787, -23314403.847467877]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[7076.4, 7691.3, 39479.0, 796.0, 7076.4, 1478.3636363636363, 14000.0, 5515.25, 796.0, 7076.4, 5515.25, 5515.25, 7691.3]"
1,maxwell,CART,grid search,Bootstrap,3,0.4977648717105376,-0.13917064542602997,8715.533094812165,304986152.80272084,17463.852747968325,-14.000000000000002,"{'model__max_depth': 2, 'model__max_features': 0.7}","[-63668318.788902745, -19259521.291312136, -98402180.86974049, -36429761.053870834, -42992052.67223614, -78881766.96459764, -63037475.43955606, -263466772.0826531, -79556318.33292516, -62261484.285461, -63699620.03267944, -61796146.96337886, -54478255.031001374, -24326605.688775513, -75120911.52640648, -111400480.5112167, -85220246.82866667, -19779536.02153427, -15493581.85028982, -27663217.04977595, -95175415.19150715, -122727769.96483608, -31390069.770900104, -26816258.430063896, -73544507.91461998, -53724091.86900511, -33785681.72581862, -20643936.596392646, -35282571.43862993, -58498450.01264173, -41809367.257438615, -128631284.79809421, -98346776.58736709, -24386377.496001855, -131982229.60287614, -85942610.13004968, -193246385.0132958, -82329566.92030856, -83954642.29061744, -78207993.61990234, -33194182.688336153, -58238176.85388179, -20804498.21344798, -26262732.61529905, -77536187.6373393, -90842086.94281684, -137340771.80897543, -106591803.56283829, -30465715.14688223, -85167863.04776786]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139, 5495.930232558139]"
0,maxwell,CART,random search,,3,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}","[-48311458.0, -57249438.875, -101394331.1875]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]"
1,maxwell,CART,random search,KFold,3,0.5305648332875907,-0.2899635013886406,10535.205917159761,345357394.10430133,18583.79385659186,-28.999999999999996,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}","[-34709802.365232386, -26868961.148858685, -84436644.76475695]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10811.538461538461, 8256.2, 39479.0, 8256.2, 10811.538461538461, 2758.35, 10811.538461538461, 2758.35, 8256.2, 10811.538461538461, 2758.35, 2758.35, 8256.2]"
1,maxwell,CART,random search,RepeatedKFold,3,0.5294265167438293,-0.17413387048909446,9595.747252747253,314346734.1558085,17729.826117472458,-17.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}","[-19421084.122796867, -42514099.449652776, -143698806.30555552, -194869951.5563462, -38461054.596533515, -91990365.73827426, -86751619.61210015, -99994208.871875, -31537689.495706946]","[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 4186.75, 10818.07142857143, 4186.75, 4186.75, 4186.75]"
1,maxwell,CART,random search,HoldOut,3,1.0,-0.2051525780111132,10110.153846153846,322651263.6923077,17962.496031796574,-21.0,"{'model__max_depth': 26, 'model__max_features': 0.40919616423534183}",[-16096419.3],"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3240.0, 3850.0, 39479.0, 4150.0, 5931.0, 5787.0, 10447.0, 2330.0, 11039.0, 5279.0, 3600.0, 3600.0, 4224.0]"
