Tuned?,Dataset,Regressor,Hyper-param-method,Validation-method,n-splits,score-train,score-test,MAE,MSE,RMSE,MedianAE,R2,best-params,best-score, cross_val_score,target-values,predicted-target-values,time-tuning
0,maxwell,CART,grid search,,3,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,5204.0,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",<bound method RegressorMixin.score of DecisionTreeRegressor(random_state=42)>,-68985076.02083333,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]",0:00:00.002000
1,maxwell,CART,grid search,KFold,3,0.5305648332875907,-0.2899635013886406,10535.205917159761,345357394.10430133,18583.79385659186,5443.799999999999,-28.999999999999996,"{'model__max_depth': 2, 'model__max_features': 0.3}",-48671802.75961601,-48671802.75961601,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10811.538461538461, 8256.2, 39479.0, 8256.2, 10811.538461538461, 2758.35, 10811.538461538461, 2758.35, 8256.2, 10811.538461538461, 2758.35, 2758.35, 8256.2]",0:00:01.974267
1,maxwell,CART,grid search,RepeatedKFold,3,0.5305648332875907,-0.2899635013886406,10535.205917159761,345357394.10430133,18583.79385659186,5443.799999999999,-28.999999999999996,"{'model__max_depth': 2, 'model__max_features': 0.3}",-60134854.46912193,-48671802.75961601,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10811.538461538461, 8256.2, 39479.0, 8256.2, 10811.538461538461, 2758.35, 10811.538461538461, 2758.35, 8256.2, 10811.538461538461, 2758.35, 2758.35, 8256.2]",0:00:00.305265
1,maxwell,CART,grid search,HoldOut,3,0.19619615605459917,-0.15377229405676007,10049.357142857143,308895400.86695445,17575.420361031323,5908.428571428572,-15.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-15873103.254595336,-53480138.08396322,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 5114.571428571428]",0:00:00.055055
1,maxwell,CART,grid search,RepeatedHoldOut,3,0.9534401550098767,-0.5077016837129031,10798.075874125874,403651672.32501435,20091.084398932137,4250.4,-51.0,"{'model__max_depth': 5, 'model__max_features': None}",-20966436.09116037,-64381059.134401895,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[7076.4, 7691.3, 39479.0, 796.0, 7076.4, 1478.3636363636363, 14000.0, 5515.25, 796.0, 7076.4, 5515.25, 5515.25, 7691.3]",0:00:00.124587
1,maxwell,CART,grid search,Bootstrap,3,0.19619615605459917,-0.15377229405676007,10049.357142857143,308895400.86695445,17575.420361031323,5908.428571428572,-15.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-61558944.259631254,-53480138.08396322,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 12859.214285714286, 5114.571428571428, 5114.571428571428, 5114.571428571428]",0:00:01.318199
0,maxwell,CART,random search,,3,1.0,-0.5272953403783041,10746.692307692309,408897413.15384614,20221.211960558798,5204.0,-53.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",<bound method RegressorMixin.score of DecisionTreeRegressor(random_state=42)>,-68985076.02083333,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[6816.0, 3850.0, 39479.0, 796.0, 9700.0, 900.0, 14000.0, 5787.0, 796.0, 5100.0, 3600.0, 3600.0, 11039.0]",0:00:00.001982
1,maxwell,CART,random search,KFold,3,0.5305648332875907,-0.2899635013886406,10535.205917159761,345357394.10430133,18583.79385659186,5443.799999999999,-28.999999999999996,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-48671802.75961601,-48671802.75961601,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10811.538461538461, 8256.2, 39479.0, 8256.2, 10811.538461538461, 2758.35, 10811.538461538461, 2758.35, 8256.2, 10811.538461538461, 2758.35, 2758.35, 8256.2]",0:00:00.126894
1,maxwell,CART,random search,RepeatedKFold,3,0.5294265167438293,-0.17413387048909446,9595.747252747253,314346734.1558085,17729.826117472458,6198.071428571429,-17.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-58113551.65519161,-65074231.0689075,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 10818.07142857143, 4186.75, 4186.75, 10818.07142857143, 4186.75, 4186.75, 4186.75]",0:00:00.328695
1,maxwell,CART,random search,HoldOut,3,1.0,-0.2051525780111132,10110.153846153846,322651263.6923077,17962.496031796574,3105.0,-21.0,"{'model__max_depth': 26, 'model__max_features': 0.40919616423534183}",-16096419.3,-87246962.48651962,"[4456.0, 13700.0, 7871.0, 7105.0, 2826.0, 1755.0, 25910.0, 583.0, 63694.0, 4620.0, 2957.0, 4300.0, 11023.0]","[3240.0, 3850.0, 39479.0, 4150.0, 5931.0, 5787.0, 10447.0, 2330.0, 11039.0, 5279.0, 3600.0, 3600.0, 4224.0]",0:00:00.058130
