Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,target_values,predicted_target_values,time_tuning
0,desharnais,CART,grid search,,3,1.0,0.41341632740134093,2147.176470588235,7484076.470588235,2735.704017357915,2013.0,41.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-23417995.961038962,-23417995.961038962,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[2422.0, 7854.0, 10577.0, 2723.0, 3437.0, 2800.0, 3164.0, 847.0, 2821.0, 2821.0, 805.0, 3983.0, 3647.0, 3983.0, 2723.0, 12824.0, 847.0]",0:00:00.002999
1,desharnais,CART,grid search,KFold,3,0.7932485992170883,0.39181602851307373,2101.7075873827794,7759669.3590694,2785.6183082162206,1714.695652173913,39.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-13938497.300131874,-13938497.300131874,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[4102.304347826087, 4102.304347826087, 4102.304347826087, 977.6666666666666, 7471.0, 4102.304347826087, 4102.304347826087, 5362.0, 4102.304347826087, 4102.304347826087, 4102.304347826087, 4102.304347826087, 2694.6666666666665, 7471.0, 2694.6666666666665, 7471.0, 3635.3333333333335]",0:00:00.229228
1,desharnais,CART,grid search,RepeatedKFold,3,1.0,0.637725346022118,1660.0588235294117,4622173.0,2149.9239521434242,1309.0,64.0,"{'model__max_depth': None, 'model__max_features': 0.3}",-15166710.34776335,-28450462.511544015,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[4172.0, 3983.0, 9051.0, 847.0, 3437.0, 5180.0, 5180.0, 3941.0, 840.0, 840.0, 4172.0, 6699.0, 3276.0, 14434.0, 2723.0, 14434.0, 3626.0]",0:00:00.344346
1,desharnais,CART,grid search,HoldOut,3,0.42232940992863977,0.3164795068353391,2182.258204334365,8720869.466747923,2953.1118276739744,1932.52,32.0,"{'model__max_depth': 2, 'model__max_features': None}",-3941771.080506807,-29467464.895914983,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 2642.52, 6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 2642.52, 6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 2642.52, 6358.9473684210525, 2642.52, 6358.9473684210525, 2642.52]",0:00:00.055028
1,desharnais,CART,grid search,RepeatedHoldOut,3,0.9999997622306285,0.4136462491340439,2146.5588235294117,7481142.955882353,2735.1678112836794,2013.0,41.0,"{'model__max_depth': 10, 'model__max_features': None}",-8660895.032051282,-27633558.905483406,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[2422.0, 7854.0, 10577.0, 2723.0, 3437.0, 2800.0, 3164.0, 847.0, 2821.0, 2821.0, 805.0, 3983.0, 3636.5, 3983.0, 2723.0, 12824.0, 847.0]",0:00:00.126380
1,desharnais,CART,grid search,Bootstrap,3,0.42232940992863977,0.3164795068353391,2182.258204334365,8720869.466747923,2953.1118276739744,1932.52,32.0,"{'model__max_depth': 2, 'model__max_features': None}",-16150397.809648916,-29467464.895914983,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 2642.52, 6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 2642.52, 6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 2642.52, 6358.9473684210525, 2642.52, 6358.9473684210525, 2642.52]",0:00:01.323667
0,desharnais,CART,random search,,3,1.0,0.41341632740134093,2147.176470588235,7484076.470588235,2735.704017357915,2013.0,41.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-23417995.961038962,-23417995.961038962,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[2422.0, 7854.0, 10577.0, 2723.0, 3437.0, 2800.0, 3164.0, 847.0, 2821.0, 2821.0, 805.0, 3983.0, 3647.0, 3983.0, 2723.0, 12824.0, 847.0]",0:00:00.002984
1,desharnais,CART,random search,KFold,3,0.41331390903720455,-0.023832203269380736,2651.509411764706,13062822.680305883,3614.2527139515137,1835.3400000000001,-2.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-14783564.577242836,-14783564.577242836,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34, 3984.34]",0:00:00.189658
1,desharnais,CART,random search,RepeatedKFold,3,1.0,0.637725346022118,1660.0588235294117,4622173.0,2149.9239521434242,1309.0,64.0,"{'model__max_depth': 26, 'model__max_features': 0.40919616423534183}",-15166710.34776335,-28450462.511544015,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[4172.0, 3983.0, 9051.0, 847.0, 3437.0, 5180.0, 5180.0, 3941.0, 840.0, 840.0, 4172.0, 6699.0, 3276.0, 14434.0, 2723.0, 14434.0, 3626.0]",0:00:00.297282
1,desharnais,CART,random search,HoldOut,3,0.42232940992863977,0.3164795068353391,2182.258204334365,8720869.466747923,2953.1118276739744,1932.52,32.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-4205417.914314974,-26545762.584484708,"[3927.0, 5152.0, 5775.0, 710.0, 4494.0, 7252.0, 4067.0, 546.0, 2149.0, 2282.0, 5817.0, 6405.0, 1267.0, 9135.0, 2548.0, 14987.0, 595.0]","[6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 2642.52, 6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 2642.52, 6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 6358.9473684210525, 2642.52, 6358.9473684210525, 2642.52, 6358.9473684210525, 2642.52]",0:00:00.058453
