Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,target_values,predicted_target_values,time_tuning
0,kitchenham,CART,grid search,,3,1.0,-2.3229035038195645,1918.2758620689656,10370764.75862069,3220.367177608897,1044.0,-231.99999999999997,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-128439115.92626838,-128439115.92626838,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[302.0, 1940.0, 380.0, 1388.0, 583.0, 5927.0, 1388.0, 1388.0, 763.0, 3319.0, 693.0, 2393.0, 1832.0, 726.0, 988.0, 437.0, 892.0, 570.0, 6607.0, 4824.0, 570.0, 1940.0, 1328.0, 15673.0, 1388.0, 980.0, 1388.0, 2224.0, 1940.0]",0:00:00.003998
1,kitchenham,CART,grid search,KFold,3,0.36538882529577865,0.10789209246077347,1320.1488877138647,2784264.194780251,1668.6114571044545,1269.6746987951806,11.0,"{'model__max_depth': 2, 'model__max_features': 0.3}",-100469885.41337769,-100469885.41337769,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 3338.9545454545455, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 1602.8, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806]",0:00:00.395389
1,kitchenham,CART,grid search,RepeatedKFold,3,0.998909950334404,-0.7952324395814967,1687.2356321839081,5602911.218018746,2367.046940391919,1271.0,-80.0,"{'model__max_depth': 10, 'model__max_features': 0.7}",-106960221.70839188,-103421333.88263065,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[1699.1666666666667, 1650.0, 3319.0, 984.5, 219.0, 3088.0, 1431.0, 5456.0, 997.3636363636364, 570.0, 795.3333333333334, 1884.0, 984.5, 2591.0, 997.3636363636364, 437.0, 1650.0, 2170.0, 6607.0, 1699.1666666666667, 2393.0, 4494.0, 1737.0, 795.3333333333334, 984.5, 5456.0, 5192.0, 1143.0, 2224.0]",0:00:00.706407
1,kitchenham,CART,grid search,HoldOut,3,0.12129155357066446,-1.7742038273931922,1810.3431444991788,8658275.888327515,2942.4948408327778,1387.5047619047618,-177.0,"{'model__max_depth': 1, 'model__max_features': 0.3}",-11687603.787366854,-102739519.14844568,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 17040.875, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762]",0:00:00.150388
1,kitchenham,CART,grid search,RepeatedHoldOut,3,0.9450410927247452,-0.1624445260761722,1514.2808595702145,3627983.39194171,1904.7265924383241,1380.4565217391305,-16.0,"{'model__max_depth': 2, 'model__max_features': None}",-6991718.326827377,-117824706.12366758,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[2098.4565217391305, 4648.5, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2911.3333333333335, 4648.5, 4648.5, 2098.4565217391305, 4648.5, 4648.5, 4648.5, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 2098.4565217391305, 4648.5, 4648.5]",0:00:00.283022
1,kitchenham,CART,grid search,Bootstrap,3,0.12129155357066446,-1.7742038273931922,1810.3431444991788,8658275.888327515,2942.4948408327778,1387.5047619047618,-177.0,"{'model__max_depth': 1, 'model__max_features': 0.7}",-120925331.13984264,-113391588.26799841,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 17040.875, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762, 2411.504761904762]",0:00:03.148631
0,kitchenham,CART,random search,,3,1.0,-2.3229035038195645,1918.2758620689656,10370764.75862069,3220.367177608897,1044.0,-231.99999999999997,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-128439115.92626838,-128439115.92626838,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[302.0, 1940.0, 380.0, 1388.0, 583.0, 5927.0, 1388.0, 1388.0, 763.0, 3319.0, 693.0, 2393.0, 1832.0, 726.0, 988.0, 437.0, 892.0, 570.0, 6607.0, 4824.0, 570.0, 1940.0, 1328.0, 15673.0, 1388.0, 980.0, 1388.0, 2224.0, 1940.0]",0:00:00.003995
1,kitchenham,CART,random search,KFold,3,0.36538882529577865,0.10789209246077347,1320.1488877138647,2784264.194780251,1668.6114571044545,1269.6746987951806,11.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-100469885.41337769,-100469885.41337769,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 3338.9545454545455, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 1602.8, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806, 2165.6746987951806]",0:00:00.317160
1,kitchenham,CART,random search,RepeatedKFold,3,0.999995973616105,-1.5888099948287855,2110.689655172414,8079662.689655173,2842.4747474085275,1653.0,-159.0,"{'model__max_depth': 14, 'model__max_features': 0.4371880036934016}",-107611368.94872063,-104566298.2607277,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[322.0, 302.0, 3050.0, 990.0, 583.0, 7649.0, 1940.0, 1252.0, 763.0, 570.0, 1425.0, 1884.0, 1884.0, 726.0, 8600.0, 437.0, 2972.0, 570.0, 6607.0, 7649.0, 4824.0, 302.0, 2480.0, 1079.0, 4824.0, 1252.0, 1252.0, 1143.0, 4824.0]",0:00:00.699818
1,kitchenham,CART,random search,HoldOut,3,1.0,-0.4963344419386977,1605.6206896551723,4670052.1034482755,2161.0303337640303,1589.0,-50.0,"{'model__max_depth': 15, 'model__max_features': 0.7328702065331612}",-11931428.619565217,-212231473.48743483,"[1304, 2356, 557, 254, 1584, 1024, 874, 654, 718, 220, 669, 1877, 676, 3555, 2964, 2265, 8509, 2223, 5249, 1159, 1122, 896, 4414, 3189, 718, 1280, 1401, 3826, 2172]","[630.0, 583.0, 3319.0, 1388.0, 1660.0, 3088.0, 339.0, 2972.0, 763.0, 1040.0, 1016.0, 1884.0, 1016.0, 2591.0, 322.0, 437.0, 1860.0, 570.0, 5646.0, 3483.0, 1660.0, 5456.0, 1328.0, 1079.0, 583.0, 2972.0, 583.0, 1143.0, 583.0]",0:00:00.139817
