Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,nasa93,CART,grid search,,3,1.0,0.14250021335203344,374.3578947368421,436813.94526315783,660.9190156616451,138.0,14.000000000000002,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-1312360.2491333333,"[-2435745.7928, -673240.7396, -828094.2150000002]","[-2435745.7928, -673240.7396, -828094.2150000002]",-1312360.2491333333,-1312360.2491333333,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[571.4, 300.0, 420.0, 973.0, 1772.5, 360.0, 90.0, 420.0, 300.0, 48.0, 300.0, 300.0, 360.0, 973.0, 31.2, 432.0, 42.0, 1350.0, 60.0]",0:00:00.002011
1,nasa93,CART,grid search,KFold,3,0.9997986006026076,0.15540387314395665,379.5333333333333,430240.7674853801,655.9274102256896,145.0,16.0,"{'model__max_depth': 10, 'model__max_features': 0.3}",-585467.9980944445,"[-996804.7912000001, -418965.01599999995, -340634.1870833333]","[-996804.7912000001, -418965.01599999995, -340634.1870833333]",-585467.9980944445,-585467.9980944445,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[571.4, 300.0, 973.0, 973.0, 1924.5, 192.0, 42.0, 432.0, 882.0, 60.0, 72.0, 300.0, 215.0, 552.0, 31.2, 300.0, 45.333333333333336, 882.0, 45.333333333333336]",0:00:00.253690
1,nasa93,CART,grid search,RepeatedKFold,3,0.8139636486111623,-0.2675420922562852,477.45396249243794,645691.1951779766,803.5491243091343,199.7793103448276,-27.0,"{'model__max_depth': 2, 'model__max_features': 0.7}",-946484.6147452636,"[-1251938.3020043457, -941271.5449777778, -382328.4647195291]","[-2239932.7141823214, -924786.9712653235, -308251.0606222734, -679930.5888770974, -1637352.0346002162, -541937.82569161, -1413436.3643671714, -127935.26904389042, -644798.7040574697]",-858512.7705672175,-946484.6147452636,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 1682.3333333333333, 259.7793103448276, 259.7793103448276, 259.7793103448276, 1053.3, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 1682.3333333333333, 259.7793103448276]",0:00:00.337618
1,nasa93,CART,grid search,HoldOut,3,0.8366618827861618,0.3598117686739014,354.45266131430265,326114.5383251267,571.0643906996187,183.83389830508472,36.0,"{'model__max_depth': 2, 'model__max_features': None}",-1185485.0589175571,"[-1213912.7340385485, -2220330.719201778, -317382.71959459275]",[-1185485.0589175571],-1250542.0576116398,-1185485.0589175571,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[243.83389830508472, 243.83389830508472, 1246.0, 1246.0, 1682.3333333333333, 243.83389830508472, 243.83389830508472, 1246.0, 243.83389830508472, 243.83389830508472, 243.83389830508472, 243.83389830508472, 243.83389830508472, 1246.0, 243.83389830508472, 243.83389830508472, 243.83389830508472, 1682.3333333333333, 243.83389830508472]",0:00:00.062770
1,nasa93,CART,grid search,RepeatedHoldOut,3,0.994165530702505,-0.13727957290808557,423.8474880382775,579334.9279433993,761.1405441463484,89.5,-14.000000000000002,"{'model__max_depth': 5, 'model__max_features': 0.7}",-851231.3075081874,"[-1175751.4183785785, -2131142.150802778, -286662.76354213903]","[-1248327.6923470397, -50858.9571726096, -1254507.273004913]",-1197852.110907832,-851231.3075081874,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[129.325, 369.70909090909095, 1110.5, 1110.5, 1772.5, 369.70909090909095, 29.0, 528.0, 1181.0, 129.325, 129.325, 369.70909090909095, 369.70909090909095, 528.0, 29.0, 369.70909090909095, 80.2, 1924.5, 29.0]",0:00:00.134830
1,nasa93,CART,grid search,Bootstrap,3,0.8139636486111623,-0.2675420922562852,477.45396249243794,645691.1951779766,803.5491243091343,199.7793103448276,-27.0,"{'model__max_depth': 2, 'model__max_features': 0.7}",-1089442.080955979,"[-1251938.3020043457, -941271.5449777778, -382328.4647195291]","[-2188399.943331537, -1416266.906863833, -199890.6497564935, -269128.8036979166, -169066.28057698012, -4087899.236456627, -1849915.1801654855, -254070.78449718014, -1790448.307196665, -1017910.0417395063, -403417.2846493115, -348687.4119076924, -2699682.801741864, -159280.8919921648, -444613.6302204702, -3928770.234161357, -3765548.272059623, -171987.10908425672, -718531.8713494723, -359249.56883101846, -250287.26525862073, -752231.0963024442, -975703.5702310421, -683196.1608865218, -1175029.275163423, -2922775.8590422566, -350264.64070473256, -397663.61274776084, -549944.6206763606, -613866.0121108824, -5030095.200313224, -165601.0215659244, -274379.3843513215, -1354326.9966635795, -1626846.0188028568, -355352.5552944029, -115941.68307291665, -369017.45069448993, -779241.2299739491, -347383.51450301846, -336291.2793562469, -936344.1872186761, -310118.79706204473, -983084.9579625849, -1276429.5571039726, -145749.61811926475, -216390.11382801656, -7570505.961749411, -704915.8793519887, -714525.9187179381]",-858512.7705672175,-1170525.3729821865,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 1682.3333333333333, 259.7793103448276, 259.7793103448276, 259.7793103448276, 1053.3, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 259.7793103448276, 1682.3333333333333, 259.7793103448276]",0:00:01.261300
0,nasa93,CART,random search,,3,1.0,0.14250021335203344,374.3578947368421,436813.94526315783,660.9190156616451,138.0,14.000000000000002,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-1312360.2491333333,"[-2435745.7928, -673240.7396, -828094.2150000002]","[-2435745.7928, -673240.7396, -828094.2150000002]",-1312360.2491333333,-1312360.2491333333,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[571.4, 300.0, 420.0, 973.0, 1772.5, 360.0, 90.0, 420.0, 300.0, 48.0, 300.0, 300.0, 360.0, 973.0, 31.2, 432.0, 42.0, 1350.0, 60.0]",0:00:00.002005
1,nasa93,CART,random search,KFold,3,0.5478474642036397,-1.6401317700657532,685.341124871001,1344894.0658109733,1159.6956781030847,316.4735294117647,-164.0,"{'model__max_depth': 1, 'model__max_features': 0.7241719823467079}",-689840.3904902893,"[-1275231.2592171393, -529027.6586833581, -265262.25357037043]","[-1275231.2592171393, -529027.6586833581, -265262.25357037043]",-689840.3904902893,-689840.3904902893,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 3666.0333333333333, 376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 376.4735294117647, 3666.0333333333333, 376.4735294117647]",0:00:00.202342
1,nasa93,CART,random search,RepeatedKFold,3,0.9992189468111281,0.0591867796556268,403.2736842105263,479254.1536842105,692.2818455544032,126.59999999999991,6.0,"{'model__max_depth': 9, 'model__max_features': 0.3111763765541499}",-933790.151262321,"[-1416264.7499555554, -2827196.6176, -856189.3304166667]","[-2071725.2835703704, -1452053.6288, -201926.24041666664, -714092.0156, -985351.688288, -589375.873935185, -885743.8636840001, -85426.4704, -1418416.2966666669]",-1699883.5659907404,-933790.151262321,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[204.0, 376.4, 107.0, 480.0, 1772.5, 360.0, 36.0, 588.0, 1181.0, 60.0, 376.4, 204.0, 360.0, 370.0, 31.2, 204.0, 54.0, 882.0, 54.0]",0:00:00.287045
1,nasa93,CART,random search,HoldOut,3,0.9975641325954779,0.05596709587266602,407.3736842105264,480894.27394736843,693.465409337314,111.0,6.0,"{'model__max_depth': 8, 'model__max_features': 0.3038654819865217}",-1180651.0311296298,"[-1941607.5880000002, -411733.20800000004, -896980.4691666669]",[-1180651.0311296298],-1083440.4217222224,-1180651.0311296298,"[252.0, 162.0, 1200.0, 192.0, 1645.9, 324.0, 48.0, 2400.0, 444.0, 60.0, 150.0, 300.0, 360.0, 2120.0, 36.0, 600.0, 48.0, 72.0, 60.0]","[98.8, 261.0, 97.0, 973.0, 1924.5, 330.0, 30.0, 501.85, 882.0, 60.0, 261.0, 261.0, 330.0, 501.85, 31.2, 261.0, 60.6, 882.0, 60.6]",0:00:00.066957
