Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,desharnais,CART,grid search,,5,1.0,0.39402379690615963,1722.1875,7542291.4375,2746.3232580124286,843.5,39.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-14336370.337179488,"[-30449889.769230768, -12596517.083333334, -8579246.666666666, -15716623.416666666, -4339574.75]","[-30449889.769230768, -12596517.083333334, -8579246.666666666, -15716623.416666666, -4339574.75]",-14336370.337179488,-14336370.337179488,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[14434.0, 3626.0, 2569.0, 3647.0, 2723.0, 805.0, 3626.0, 2569.0, 3948.0, 2821.0, 13860.0, 1575.0, 2723.0, 4004.0, 3913.0, 2800.0]",0:00:00.002000
1,desharnais,CART,grid search,KFold,5,0.9012605444989982,0.5202386355263688,1387.7808823529413,5971356.652024222,2443.635949159412,808.8235294117646,52.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-12474418.873392776,"[-24379524.324210107, -22037068.435994502, -4815054.643518519, -3879320.308703704, -7261126.654537037]","[-24379524.324210107, -22037068.435994502, -4815054.643518519, -3879320.308703704, -7261126.654537037]",-12474418.873392776,-12474418.873392776,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[11449.0, 3190.6, 3190.6, 1625.0, 1625.0, 1625.0, 3190.6, 1625.0, 4065.3529411764707, 3190.6, 11449.0, 3465.0, 1625.0, 4065.3529411764707, 4065.3529411764707, 4065.3529411764707]",0:00:00.364976
1,desharnais,CART,grid search,RepeatedKFold,5,1.0,0.39402379690615963,1722.1875,7542291.4375,2746.3232580124286,843.5,39.0,"{'model__max_depth': None, 'model__max_features': None}",-13634440.827777779,"[-30449889.769230768, -12596517.083333334, -8579246.666666666, -15716623.416666666, -4339574.75]","[-30597013.46153846, -8547180.25, -6302919.0, -18653691.583333332, -2772023.5, -17752353.230769232, -9552023.25, -12417351.333333334, -11876379.083333334, -5473500.25, -23016464.307692308, -16556503.833333334, -15841472.833333334, -22664423.25, -2493313.25]",-14336370.337179488,-13634440.827777779,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[14434.0, 3626.0, 2569.0, 3647.0, 2723.0, 805.0, 3626.0, 2569.0, 3948.0, 2821.0, 13860.0, 1575.0, 2723.0, 4004.0, 3913.0, 2800.0]",0:00:00.391243
1,desharnais,CART,grid search,HoldOut,5,0.6803637067090923,0.18539574130957748,2096.986111111111,10138983.501172839,3184.177052422311,1166.3444444444444,19.0,"{'model__max_depth': 2, 'model__max_features': None}",-22401314.63869899,"[-27579376.305560645, -24918967.577331483, -8571869.857060185, -8099269.707523388, -7569724.758972231]",[-22401314.63869899],-15347841.641289586,-22401314.63869899,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[15264.2, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 15264.2, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444, 3178.8444444444444]",0:00:00.051326
1,desharnais,CART,grid search,RepeatedHoldOut,5,0.9993583177552509,0.15504717891578457,2149.425,10516717.315,3242.9488609905643,1423.0,16.0,"{'model__max_depth': 10, 'model__max_features': 0.3}",-21813815.023076925,"[-47542294.84615385, -16873944.48148148, -19771981.833333332, -11626459.416666666, -5859726.416666667]","[-27695410.615384616, -19025776.53846154, -12037256.692307692, -7868467.115384615, -42442164.15384615]",-20334881.398860402,-21813815.023076925,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[13860.0, 3647.0, 3927.0, 2422.0, 1603.0, 805.0, 3647.0, 2548.0, 2429.0, 3913.0, 13860.0, 3192.0, 805.0, 4041.8, 1435.0, 3948.0]",0:00:00.155219
1,desharnais,CART,grid search,Bootstrap,5,0.5210339039337383,0.529002589962311,1595.0384615384614,5862275.968387855,2421.2137386831123,927.5,53.0,"{'model__max_depth': 2, 'model__max_features': 1}",-16333708.927584475,"[-28087839.575988248, -20435325.055580042, -43313876.85631949, -7395807.8820520975, -8231044.270408162]","[-24431995.872999, -16287747.263519604, -19320007.338160012, -17547176.67512008, -31873470.04737375, -17924985.759324472, -18596665.29127643, -25080839.842261903, -31795656.841461282, -8823519.911662025, -25360399.96963333, -31624613.84625715, -25302118.919552673, -18208997.27641161, -15421277.591670929, -15085143.703997461, -8394899.07348065, -31061251.061538458, -12493441.47775206, -25812497.02000595, -33481656.133422233, -30450391.903492555, -9320753.512957774, -16271037.89429709, -6772064.338298195, -36995513.44760234, -6429803.231101023, -17083506.53580948, -10556580.616738401, -14529722.800880825, -13316192.824782604, -31243412.034379367, -23328978.334684454, -7639298.102245433, -16871641.418014333, -10181826.02154957, -12406976.682710009, -27290370.75625, -5331646.4809090905, -6332620.82140977, -9175103.569305556, -12985439.152071834, -19546044.066005383, -21379416.486631915, -35883570.77883839, -7969728.93936698, -21445597.95642516, -12899465.19741282, -20471448.19837357, -21279914.600608084]",-21492778.728069607,-18786328.55240066,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[6326.764705882353, 2443.653846153846, 2443.653846153846, 2443.653846153846, 2443.653846153846, 2443.653846153846, 2443.653846153846, 2443.653846153846, 6326.764705882353, 2443.653846153846, 6326.764705882353, 2443.653846153846, 2443.653846153846, 6326.764705882353, 6326.764705882353, 6326.764705882353]",0:00:01.139396
0,desharnais,CART,random search,,5,1.0,0.39402379690615963,1722.1875,7542291.4375,2746.3232580124286,843.5,39.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-14336370.337179488,"[-30449889.769230768, -12596517.083333334, -8579246.666666666, -15716623.416666666, -4339574.75]","[-30449889.769230768, -12596517.083333334, -8579246.666666666, -15716623.416666666, -4339574.75]",-14336370.337179488,-14336370.337179488,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[14434.0, 3626.0, 2569.0, 3647.0, 2723.0, 805.0, 3626.0, 2569.0, 3948.0, 2821.0, 13860.0, 1575.0, 2723.0, 4004.0, 3913.0, 2800.0]",0:00:00.002000
1,desharnais,CART,random search,KFold,5,0.9570763488379184,0.33024718927750984,1876.3406250000003,8336087.892170139,2887.228410114125,930.2416666666666,33.0,"{'model__max_depth': 6, 'model__max_features': 0.44555916400773216}",-10858741.748838758,"[-19702635.52991453, -14040284.3125, -3288565.847993828, -9616151.874965984, -7646071.178819445]","[-19702635.52991453, -14040284.3125, -3288565.847993828, -9616151.874965984, -7646071.178819445]",-10858741.748838758,-10858741.748838758,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[14980.0, 5817.0, 2496.0833333333335, 2496.0833333333335, 2496.0833333333335, 675.5, 5817.0, 2496.0833333333335, 4523.4, 3647.0, 14980.0, 675.5, 2496.0833333333335, 4523.4, 4523.4, 4523.4]",0:00:00.269830
1,desharnais,CART,random search,RepeatedKFold,5,0.981472873538802,0.3707071333027181,1781.4140625000002,7832502.6229383685,2798.660862437314,1066.625,37.0,"{'model__max_depth': 7, 'model__max_features': 0.8575800908021629}",-12526404.397254413,"[-36754128.0, -10285205.2734375, -8857291.3275, -9642496.892103909, -9600216.791666666]","[-29827343.903846152, -9618126.291666666, -6695685.543981481, -10413304.416666666, -2170236.141203704, -21193586.31324786, -6493182.9375, -14120267.057870371, -23114856.31712963, -6017006.851822916, -13401213.538461538, -5363184.006666667, -14358496.516460905, -17209282.731666666, -7900293.390625]",-15027867.656941617,-12526404.397254413,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[13860.0, 4309.666666666667, 2813.125, 2813.125, 2813.125, 805.0, 4309.666666666667, 2813.125, 3619.0, 4309.666666666667, 13860.0, 1575.0, 2813.125, 4309.666666666667, 5406.333333333333, 3619.0]",0:00:00.400964
1,desharnais,CART,random search,HoldOut,5,1.0,0.27864547909297865,1966.8125,8978349.3125,2996.389379319717,1081.5,28.000000000000004,"{'model__max_depth': 15, 'model__max_features': 0.8123957592679836}",-26745168.307692308,"[-57355194.23076923, -12552015.75, -13955085.666666666, -12203539.833333334, -8001977.666666667]",[-26745168.307692308],-20813562.62948718,-26745168.307692308,"[11361.0, 3472.0, 1617.0, 2331.0, 2583.0, 2282.0, 2926.0, 1876.0, 12824.0, 2149.0, 9520.0, 840.0, 2174.0, 3542.0, 5152.0, 4977.0]","[14973.0, 3927.0, 2989.0, 2548.0, 2520.0, 1267.0, 3647.0, 2548.0, 3948.0, 3927.0, 14973.0, 3192.0, 1603.0, 3983.0, 2429.0, 3829.0]",0:00:00.054977
