Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,kitchenham,CART,grid search,,5,1.0,0.6465304572076794,802.7586206896551,2974678.827586207,1724.7257253216255,402.0,65.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-105085214.60671936,"[-8081611.565217392, -462783.60869565216, -2342317.086956522, -513637558.27272725, -901802.5]","[-8081611.565217392, -462783.60869565216, -2342317.086956522, -513637558.27272725, -901802.5]",-105085214.60671936,-105085214.60671936,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[887.0, 5094.0, 1693.0, 726.0, 654.0, 3088.0, 4115.0, 698.0, 4068.0, 570.0, 693.0, 3088.0, 1722.0, 2037.0, 2029.0, 874.0, 2265.0, 7649.0, 437.0, 2570.0, 437.0, 1401.0, 1832.0, 896.0, 485.0, 1280.0, 5456.0, 4115.0, 5646.0]",0:00:00.005117
1,kitchenham,CART,grid search,KFold,5,0.9997972197180732,0.37238464520835945,1182.2884510125887,5281796.256102379,2298.215885442962,411.79999999999995,37.0,"{'model__max_depth': 10, 'model__max_features': 'log2'}",-92669490.31172916,"[-11541178.056566104, -1244822.5542391306, -3811421.9049113304, -443338525.7020202, -3411503.340909091]","[-11541178.056566104, -1244822.5542391306, -3811421.9049113304, -443338525.7020202, -3411503.340909091]",-92669490.31172916,-92669490.31172916,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[536.0, 5816.0, 892.2, 540.6666666666666, 540.6666666666666, 1865.2222222222222, 3826.0, 2172.0, 5094.0, 5456.0, 630.0, 1865.2222222222222, 892.2, 1562.5, 1429.5, 892.2, 1939.0, 15673.0, 627.5, 2237.1428571428573, 570.0, 2172.0, 1865.2222222222222, 892.2, 338.5, 1374.0, 3826.0, 2393.0, 4824.0]",0:00:00.514974
1,kitchenham,CART,grid search,RepeatedKFold,5,0.996894879108796,0.8456243323938686,625.3985361621137,1299172.8404510834,1139.8126339232617,303.42105263157896,85.0,"{'model__max_depth': 5, 'model__max_features': 0.7}",-97076793.66009215,"[-7672516.139179938, -1999713.582708011, -3146864.9876727415, -513647013.72065854, -1048895.744765626]","[-420415870.9587612, -7385702.345846288, -1682632.8545028353, -764121.4254050703, -488134.21349187964, -8143967.273704896, -1010174.6116507329, -7507680.996370405, -1789092.0328937657, -466878966.62660795, -441050.8737570793, -1680566.0614660077, -932373.5394088775, -708286.7873288068, -536323284.30018634]",-105503000.83499697,-97076793.66009215,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[955.3636363636364, 8656.0, 955.3636363636364, 792.7142857142857, 792.7142857142857, 1968.65625, 4681.8, 523.421052631579, 4681.8, 792.7142857142857, 523.421052631579, 1968.65625, 955.3636363636364, 1968.65625, 1968.65625, 523.421052631579, 3319.0, 8656.0, 523.421052631579, 3319.0, 523.421052631579, 955.3636363636364, 1968.65625, 523.421052631579, 792.7142857142857, 1279.6, 4681.8, 4681.8, 4681.8]",0:00:01.043542
1,kitchenham,CART,grid search,HoldOut,5,0.9971738671190227,0.662347118706061,799.247509578544,2841571.2118333634,1685.6960615227656,396.7777777777778,66.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-420381676.30259997,"[-6638877.735555424, -1023309.0705047469, -1790801.588669489, -541981085.429541, -1410260.3194926947]",[-420381676.30259997],-110568866.82875267,-420381676.30259997,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1543.2222222222222, 5423.333333333333, 1543.2222222222222, 621.5555555555555, 621.5555555555555, 1443.909090909091, 4257.4, 621.5555555555555, 5423.333333333333, 621.5555555555555, 621.5555555555555, 2084.25, 1543.2222222222222, 1543.2222222222222, 2084.25, 621.5555555555555, 1543.2222222222222, 8271.333333333334, 2527.0, 1443.909090909091, 621.5555555555555, 1859.3333333333333, 1543.2222222222222, 621.5555555555555, 621.5555555555555, 1543.2222222222222, 5456.0, 5423.333333333333, 5423.333333333333]",0:00:00.081893
1,kitchenham,CART,grid search,RepeatedHoldOut,5,1.0,0.655805696324624,738.0689655172414,2896621.5862068967,1701.9464110855245,350.0,66.0,"{'model__max_depth': None, 'model__max_features': 0.7}",-86261220.06956522,"[-5544440.391304348, -854327.2173913043, -1631262.043478261, -513211523.04545456, -1534732.6818181819]","[-420422832.65217394, -6564101.391304348, -495511.0, -2667757.782608696, -1155897.5217391304]",-104555257.07588933,-86261220.06956522,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1113.0, 5094.0, 980.0, 580.0, 718.0, 2265.0, 4115.0, 676.0, 4068.0, 726.0, 676.0, 1884.0, 892.0, 1557.0, 1884.0, 630.0, 2408.0, 8656.0, 570.0, 2570.0, 570.0, 887.0, 1698.0, 502.0, 726.0, 1040.0, 5927.0, 4824.0, 5927.0]",0:00:00.331677
1,kitchenham,CART,grid search,Bootstrap,5,0.9794783506682302,0.6153496756057653,1149.7618599791015,3237085.6254281932,1799.1902693790319,906.227272727273,62.0,"{'model__max_depth': 2, 'model__max_features': None}",-72762915.60451226,"[-9321766.470605556, -1488206.516494216, -1940121.1703645072, -453111048.68131846, -1890957.1973336884]","[-4098981.0115308748, -2361023.527747004, -5523996.760032983, -289118144.90967685, -241204542.85591024, -1332605.262689142, -4625180.3825471755, -257512662.21872967, -3116857.8233189327, -4340520.991825373, -242510499.79537258, -2165475.2628469337, -250599929.84459543, -223441476.46209943, -299027510.38437223, -232811704.55404094, -5430040.404652654, -3527444.831796836, -270335092.12173855, -2903341.469459174, -2536301.8811633876, -1154334.2627726884, -4064770.5662493827, -231048470.08864358, -1122399.8855444337, -280834035.5012063, -3817577.9791143127, -2180583.973731366, -3406580.0679888637, -8341059.571818182, -4599775.943583983, -219734706.36546767, -2933589.873867085, -231277995.5252754, -2406425.034994418, -2802055.026004056, -1073546.5055924377, -243069473.85534832, -3447254.059929016, -248541787.20651963, -288680997.4483306, -279621617.371045, -3419222.7767441864, -275712618.682047, -1964539.3957067272, -1469602.6815555864, -5226548.001651935, -269171754.54443306, -1752253.633216633, -227496443.78753957]",-93550420.00722328,-103977907.04744135,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1426.3111111111111, 6098.227272727273, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 6098.227272727273, 1426.3111111111111, 6098.227272727273, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 6098.227272727273, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 1426.3111111111111, 6098.227272727273, 6098.227272727273, 6098.227272727273]",0:00:02.709980
0,kitchenham,CART,random search,,5,1.0,0.6465304572076794,802.7586206896551,2974678.827586207,1724.7257253216255,402.0,65.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-105085214.60671936,"[-8081611.565217392, -462783.60869565216, -2342317.086956522, -513637558.27272725, -901802.5]","[-8081611.565217392, -462783.60869565216, -2342317.086956522, -513637558.27272725, -901802.5]",-105085214.60671936,-105085214.60671936,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[887.0, 5094.0, 1693.0, 726.0, 654.0, 3088.0, 4115.0, 698.0, 4068.0, 570.0, 693.0, 3088.0, 1722.0, 2037.0, 2029.0, 874.0, 2265.0, 7649.0, 437.0, 2570.0, 437.0, 1401.0, 1832.0, 896.0, 485.0, 1280.0, 5456.0, 4115.0, 5646.0]",0:00:00.003996
1,kitchenham,CART,random search,KFold,5,0.9963064581901577,0.6153746517056957,822.8145245559039,3236875.4351100344,1799.1318559544306,461.20000000000005,62.0,"{'model__max_depth': 4, 'model__max_features': 0.7185299851677596}",-89194040.10612111,"[-4164013.004197273, -399256.2873345231, -889748.3005485825, -439633193.1330563, -883989.8054689006]","[-4164013.004197273, -399256.2873345231, -889748.3005485825, -439633193.1330563, -883989.8054689006]",-89194040.10612111,-89194040.10612111,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[681.8, 4681.8, 681.8, 1124.6818181818182, 1124.6818181818182, 2009.5757575757575, 4681.8, 681.8, 4681.8, 1124.6818181818182, 681.8, 2009.5757575757575, 681.8, 2009.5757575757575, 2009.5757575757575, 681.8, 2009.5757575757575, 7123.0, 681.8, 2009.5757575757575, 681.8, 681.8, 2009.5757575757575, 681.8, 1124.6818181818182, 1124.6818181818182, 4681.8, 4681.8, 4681.8]",0:00:00.394926
1,kitchenham,CART,random search,RepeatedKFold,5,0.9999998237487849,0.7936484196537018,715.8850574712643,1736584.3524904216,1317.795261977528,324.0,79.0,"{'model__max_depth': 11, 'model__max_features': 0.621474224376107}",-94791733.50462566,"[-5832286.521739131, -1164149.608695652, -909485.0869565217, -514982602.0568182, -3086088.6931818184]","[-420469938.89975846, -2484130.304347826, -2901128.479468599, -717739.7727272727, -1434029.5, -2985645.9565217393, -1121058.2282608696, -2357453.9565217393, -2309486.2045454546, -439390263.95454544, -672347.5434782609, -2453340.424347826, -762773.9130434783, -2049075.0568181819, -539767590.375]",-105194922.39347826,-94791733.50462566,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[1159.0, 8656.0, 1040.0, 593.0, 665.0, 2265.0, 3826.0, 698.0, 5249.0, 1693.0, 698.0, 1252.0, 1584.0, 2964.0, 2265.0, 896.0, 3088.0, 8656.0, 437.0, 2408.0, 437.0, 1693.3333333333333, 1431.0, 896.0, 726.0, 1693.3333333333333, 3826.0, 8509.0, 5094.0]",0:00:01.017933
1,kitchenham,CART,random search,HoldOut,5,1.0,0.5688383507011544,728.0,3628509.0344827585,1904.864571165824,284.0,56.99999999999999,"{'model__max_depth': 15, 'model__max_features': 0.8123957592679836}",-420364480.1304348,"[-8902974.913043479, -727618.4347826086, -1454294.7826086956, -516253858.22727275, -1720397.3181818181]",[-420364480.1304348],-105811828.73517787,-420364480.1304348,"[928, 13635, 1143, 324, 989, 1432, 3189, 669, 5192, 302, 464, 1860, 1304, 2480, 2663, 652, 2356, 8600, 321, 1631, 220, 990, 1940, 763, 219, 1532, 3966, 4414, 6607]","[887.0, 3826.0, 1016.0, 698.0, 654.0, 2895.0, 4115.0, 693.0, 4824.0, 570.0, 693.0, 2408.0, 1016.0, 2203.0, 2570.0, 502.0, 1884.0, 8656.0, 874.0, 1832.0, 437.0, 1576.0, 2224.0, 750.0, 485.0, 1328.0, 5646.0, 4115.0, 5646.0]",0:00:00.110874
