Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,5,1.0,-3.6139266626580664,6530.076923076923,189272993.0,13757.652161615368,1290.0,-361.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-55238819.08444444,"[-11415960.3, -7909743.2, -90897996.6, -16695884.1, -149274511.2222222]","[-11415960.3, -7909743.2, -90897996.6, -16695884.1, -149274511.2222222]",-55238819.08444444,-55238819.08444444,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[63694.0, 4456.0, 3240.0, 1520.0, 1060.0, 10000.0, 4456.0, 25910.0, 963.0, 7871.0, 963.0, 1060.0, 7184.0]",0:00:00.002996
1,maxwell,CART,grid search,KFold,5,0.9916826391961575,-0.11943178697011714,3620.7772142387525,45921450.48467464,6776.536761847798,1140.333333333334,-12.0,"{'model__max_depth': 5, 'model__max_features': None}",-39094203.25711967,"[-8695497.509001007, -6248634.31525, -78710764.21088436, -18093252.94722222, -83722867.30324073]","[-8695497.509001007, -6248634.31525, -78710764.21088436, -18093252.94722222, -83722867.30324073]",-39094203.25711967,-39094203.25711967,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[37286.0, 3631.8571428571427, 3631.8571428571427, 1770.2307692307693, 1770.2307692307693, 10000.0, 3631.8571428571427, 15052.0, 1770.2307692307693, 9306.666666666666, 1770.2307692307693, 1770.2307692307693, 6451.888888888889]",0:00:00.453710
1,maxwell,CART,grid search,RepeatedKFold,5,0.9916826391961575,-0.11943178697011714,3620.7772142387525,45921450.48467464,6776.536761847798,1140.333333333334,-12.0,"{'model__max_depth': 5, 'model__max_features': None}",-69318560.62259355,"[-8695497.509001007, -6248634.31525, -78710764.21088436, -18093252.94722222, -83722867.30324073]","[-9114971.004499998, -18834848.37637741, -14832752.786265433, -128134005.20899999, -75795244.61908305, -6366168.7557654325, -113176843.64753287, -311710020.5782986, -73041526.013, -2906393.459498614, -8692727.003999999, -75629822.71319444, -124129972.59342209, -57311184.87520661, -20101927.703758575]",-39094203.25711967,-69318560.62259355,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[37286.0, 3631.8571428571427, 3631.8571428571427, 1770.2307692307693, 1770.2307692307693, 10000.0, 3631.8571428571427, 15052.0, 1770.2307692307693, 9306.666666666666, 1770.2307692307693, 1770.2307692307693, 6451.888888888889]",0:00:00.724022
1,maxwell,CART,grid search,HoldOut,5,0.9193601067141471,-0.46845031155867667,5070.915009380862,60238925.726741865,7761.373958697124,3877.7317073170734,-47.0,"{'model__max_depth': 2, 'model__max_features': None}",-4730464.629136317,"[-15008732.444444444, -5690792.490530698, -212111515.7867284, -26780080.3078125, -120295975.56198001]",[-4730464.629136317],-75977419.31829922,-4730464.629136317,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[38382.5, 4777.731707317073, 4777.731707317073, 4777.731707317073, 4777.731707317073, 4777.731707317073, 4777.731707317073, 15940.2, 4777.731707317073, 4777.731707317073, 4777.731707317073, 4777.731707317073, 4777.731707317073]",0:00:00.127623
1,maxwell,CART,grid search,RepeatedHoldOut,5,0.9916826391961575,-0.11943178697011714,3620.7772142387525,45921450.48467464,6776.536761847798,1140.333333333334,-12.0,"{'model__max_depth': 5, 'model__max_features': None}",-10165172.27109246,"[-8695497.509001007, -6248634.31525, -78710764.21088436, -18093252.94722222, -83722867.30324073]","[-9114971.004499998, -6366168.7557654325, -8692727.003999999, -7473066.018417947, -19178928.572778925]",-39094203.25711967,-10165172.27109246,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[37286.0, 3631.8571428571427, 3631.8571428571427, 1770.2307692307693, 1770.2307692307693, 10000.0, 3631.8571428571427, 15052.0, 1770.2307692307693, 9306.666666666666, 1770.2307692307693, 1770.2307692307693, 6451.888888888889]",0:00:00.279323
1,maxwell,CART,grid search,Bootstrap,5,0.9999504897408233,-3.64397068329742,6634.833333333334,190505462.0277778,13802.371608813384,1290.0,-364.0,"{'model__max_depth': 10, 'model__max_features': None}",-60257315.99826355,"[-11415960.3, -6435856.8, -90897996.6, -17763218.6, -88123292.77777778]","[-98802903.75, -6166526.428571428, -47016695.11764706, -50093425.44444445, -45763811.64705882, -140671046.1, -36514330.89473684, -41786827.3, -172502111.10526314, -154640712.94444445, -59274905.55555555, -52146627.421052635, -147792847.55555555, -63542389.47619048, -63979366.38095238, -21095086.785714287, -116786683.5, -171985337.63157895, -20549517.315789472, -18556052.336805556, -157824813.10526314, -50624414.0, -106461811.78947368, -89840757.8235294, -80068036.73684211, -17767123.25, -46120356.04347826, -27732566.684210528, -43962418.30434783, -147257740.0, -22697476.0, -94231284.73333333, -75789343.57894737, -161399337.68421054, -16184449.916666666, -49284494.05, -44057345.4, -214605927.0, -40259052.25, -4852403.266666667, -83856521.41176471, -15164238.4, -248449414.9, -152064749.7777778, -204229603.94117647, -161659720.7777778, -8427113.714285715, -12704295.636363637, -75084230.0625, -80210914.8095238]",-42927265.015555546,-81250783.19479,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[63694.0, 5279.0, 1798.0, 1536.8333333333333, 1060.0, 10000.0, 4456.0, 25910.0, 963.0, 7871.0, 963.0, 1060.0, 6816.0]",0:00:02.173079
0,maxwell,CART,random search,,5,1.0,-3.6139266626580664,6530.076923076923,189272993.0,13757.652161615368,1290.0,-361.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-55238819.08444444,"[-11415960.3, -7909743.2, -90897996.6, -16695884.1, -149274511.2222222]","[-11415960.3, -7909743.2, -90897996.6, -16695884.1, -149274511.2222222]",-55238819.08444444,-55238819.08444444,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[63694.0, 4456.0, 3240.0, 1520.0, 1060.0, 10000.0, 4456.0, 25910.0, 963.0, 7871.0, 963.0, 1060.0, 7184.0]",0:00:00.003005
1,maxwell,CART,random search,KFold,5,0.9999999919029792,-0.6332059782952588,4763.538461538462,66997550.307692304,8185.203131730593,1232.0,-63.0,"{'model__max_depth': 12, 'model__max_features': 0.9569868963110251}",-51494093.637777776,"[-24482580.2, -5914264.7, -80467661.3, -19097199.1, -127508762.8888889]","[-24482580.2, -5914264.7, -80467661.3, -19097199.1, -127508762.8888889]",-51494093.637777776,-51494093.637777776,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[39479.0, 5279.0, 3600.0, 1520.0, 1060.0, 6800.0, 5279.0, 25910.0, 963.0, 7871.0, 963.0, 796.0, 6816.0]",0:00:00.310131
1,maxwell,CART,random search,RepeatedKFold,5,0.9828392923340297,-0.2475159931944515,4093.5435897435896,51175734.49059829,7153.7217230332835,1878.1999999999998,-25.0,"{'model__max_depth': 4, 'model__max_features': 0.959541228979397}",-41425342.39735758,"[-24004665.9109375, -7924655.235795992, -162939007.9671875, -20781520.01890707, -81008211.491708]","[-5860382.046666666, -17895729.05277778, -15530241.759062499, -152233306.32789257, -6881729.992642981, -7689167.525036961, -74181207.61161157, -77069767.09075668, -72332457.90618014, -18977281.429181766, -10830765.749433106, -18084583.27300782, -63600016.74793879, -58122531.73926592, -22090967.70890861]",-59331612.12490721,-41425342.39735758,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[39479.0, 2421.8, 2421.8, 2421.8, 2421.8, 8400.0, 2421.8, 14250.666666666666, 2421.8, 7593.8, 2421.8, 2421.8, 7593.8]",0:00:00.809708
1,maxwell,CART,random search,HoldOut,5,0.9828392923340297,-0.2475159931944515,4093.5435897435896,51175734.49059829,7153.7217230332835,1878.1999999999998,-25.0,"{'model__max_depth': 4, 'model__max_features': 0.959541228979397}",-5860382.046666666,"[-24004665.9109375, -7924655.235795992, -162939007.9671875, -20781520.01890707, -81008211.491708]",[-5860382.046666666],-59331612.12490721,-5860382.046666666,"[18500.0, 5100.0, 4557.0, 845.0, 900.0, 8710.0, 4047.0, 11900.0, 4300.0, 10447.0, 1981.0, 1233.0, 21272.0]","[39479.0, 2421.8, 2421.8, 2421.8, 2421.8, 8400.0, 2421.8, 14250.666666666666, 2421.8, 7593.8, 2421.8, 2421.8, 7593.8]",0:00:00.086147
