Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,miyazaki94,CART,grid search,,5,1.0,0.18836365166796487,29.069999999999993,2291.031,47.8647156055481,14.7,19.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-63287.01732142856,"[-2346.805, -8144.878750000001, -12454.6, -291984.07428571425, -1504.7285714285715]","[-2346.805, -8144.878750000001, -12454.6, -291984.07428571425, -1504.7285714285715]",-63287.01732142856,-63287.01732142856,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[37.0, 13.9, 54.0, 59.1, 340.0, 54.0, 43.8, 18.0, 22.0, 37.2]",0:00:00.003129
1,miyazaki94,CART,grid search,KFold,5,1.0,-0.1424642001828793,30.529999999999994,3224.8689999999997,56.78793005560248,16.45,-14.000000000000002,"{'model__max_depth': None, 'model__max_features': 1}",-48754.37999999999,"[-2230.875, -3847.36375, -10780.12125, -222503.46285714285, -4410.077142857143]","[-2230.875, -3847.36375, -10780.12125, -222503.46285714285, -4410.077142857143]",-48754.37999999999,-48754.37999999999,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[37.0, 9.0, 39.0, 31.5, 43.8, 37.2, 37.0, 43.8, 59.1, 54.0]",0:00:00.673100
1,miyazaki94,CART,grid search,RepeatedKFold,5,0.9960063413370378,-0.5236453088310862,43.16285714285715,4300.840693877551,65.58079516045494,17.55,-52.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-42847.702778684325,"[-1788.327903462604, -4018.0696093750003, -11739.523133680554, -222501.15290647047, -10793.686092063492]","[-194532.82036422903, -592.7563430555556, -9665.703469896449, -1365.8855555555554, -14013.066349206349, -194304.32494331067, -429.3077236111111, -11334.893681944444, -928.6494848943148, -774.2086319362455, -1596.228962673611, -194606.90374183675, -857.8825129913076, -12590.21964726631, -5122.690267857142]",-50168.15192901042,-42847.702778684325,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[170.0, 12.171428571428574, 40.0, 170.0, 340.0, 40.0, 31.5, 53.642857142857146, 40.0, 31.5]",0:00:00.717834
1,miyazaki94,CART,grid search,HoldOut,5,0.9960063413370378,-0.5236453088310862,43.16285714285715,4300.840693877551,65.58079516045494,17.55,-52.0,"{'model__max_depth': 5, 'model__max_features': 0.3}",-194532.82036422903,"[-1788.327903462604, -4018.0696093750003, -11739.523133680554, -222501.15290647047, -10793.686092063492]",[-194532.82036422903],-50168.15192901042,-194532.82036422903,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[170.0, 12.171428571428574, 40.0, 170.0, 340.0, 40.0, 31.5, 53.642857142857146, 40.0, 31.5]",0:00:00.156025
1,miyazaki94,CART,grid search,RepeatedHoldOut,5,0.9999859754268531,-0.6358633407102314,48.96,4617.602,67.95293959793057,29.0,-64.0,"{'model__max_depth': 10, 'model__max_features': 0.3}",-119164.62024999999,"[-1559.7012500000003, -4045.12, -10840.993750000001, -287229.72428571427, -11087.227142857142]","[-194879.035, -194600.83125, -9934.39, -194486.745, -1922.1]",-62952.55328571428,-119164.62024999999,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[170.0, 13.9, 31.5, 170.0, 340.0, 37.2, 37.0, 32.7, 6.0, 23.0]",0:00:00.268506
1,miyazaki94,CART,grid search,Bootstrap,5,1.0,0.18836365166796487,29.069999999999993,2291.031,47.8647156055481,14.7,19.0,"{'model__max_depth': 10, 'model__max_features': None}",-40215.66515441277,"[-2346.805, -8142.347500000001, -12454.6, -291984.07428571425, -942.55]","[-132776.08083333334, -1788.143125, -4667.173, -133054.55000000002, -150353.845, -106605.17066666667, -610.2575, -108140.13466666666, -8716.297000000002, -4296.505999999999, -1025.2628571428572, -5228.722307692307, -7468.836153846151, -7498.519285714285, -2164.9646153846156, -1015.138666666667, -120301.66692307692, -1234.6626666666666, -130540.86375, -660.1725142857143, -1270.5366666666666, -135037.0611764706, -5380.135882352941, -153515.29571428572, -669.5133333333332, -149280.33285714287, -3344.178235294118, -4170.631666666667, -120975.71999999999, -140245.896, -163425.8869230769, -756.9972727272726, -6510.947037037035, -99174.751875, -113589.30357142855, -3183.044, -3293.23, -164723.57923076922, -139032.47533333334, -144312.42071428572, -2805.9500000000003, -142115.53, -132342.98416666666, -8016.011428571428, -123324.17294117648, -5319.639999999999, -106200.56533333333, -98363.83705882353, -151556.37466666667, -10348.215681818181]",-63174.07535714285,-65208.6437259814,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[37.0, 13.9, 54.0, 59.1, 340.0, 54.0, 43.8, 18.0, 22.0, 37.2]",0:00:02.153317
0,miyazaki94,CART,random search,,5,1.0,0.18836365166796487,29.069999999999993,2291.031,47.8647156055481,14.7,19.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-63287.01732142856,"[-2346.805, -8144.878750000001, -12454.6, -291984.07428571425, -1504.7285714285715]","[-2346.805, -8144.878750000001, -12454.6, -291984.07428571425, -1504.7285714285715]",-63287.01732142856,-63287.01732142856,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[37.0, 13.9, 54.0, 59.1, 340.0, 54.0, 43.8, 18.0, 22.0, 37.2]",0:00:00.001000
1,miyazaki94,CART,random search,KFold,5,0.9993912062360278,0.8028187513197607,16.82692307692308,556.5896035502958,23.592151312466097,10.607692307692304,80.0,"{'model__max_depth': 7, 'model__max_features': 0.8575800908021629}",-47285.38759964037,"[-2287.5287500000004, -891.5723632812499, -10021.746805555555, -222569.54142857142, -656.5486507936506]","[-2287.5287500000004, -891.5723632812499, -10021.746805555555, -222569.54142857142, -656.5486507936506]",-47285.38759964037,-47285.38759964037,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[43.91538461538461, 13.9, 43.91538461538461, 43.91538461538461, 170.0, 43.91538461538461, 43.91538461538461, 34.8, 22.5, 43.91538461538461]",0:00:00.295869
1,miyazaki94,CART,random search,RepeatedKFold,5,0.9998565162420835,-5.340906956451285,83.3,17898.674000000003,133.78592601615463,29.0,-534.0,"{'model__max_depth': 9, 'model__max_features': 0.3455361150896956}",-42665.260340092595,"[-1634.535627170139, -4003.4049999999997, -10840.993750000001, -287229.72428571427, -11146.935714285713]","[-194879.035, -905.9293055555556, -1272.0617708333334, -1510.6446428571428, -11008.770089285714, -194600.83125000002, -399.73625000000004, -13689.49625, -1282.4085714285713, -1019.7675, -9934.39, -194486.27625000002, -252.42374999999998, -9016.871785714286, -5720.262685714287]",-62971.11887543402,-42665.260340092595,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[340.0, 13.9, 31.5, 340.0, 340.0, 27.5, 37.0, 39.0, 6.0, 23.0]",0:00:00.850259
1,miyazaki94,CART,random search,HoldOut,5,1.0,-0.6358633407102314,48.96,4617.602,67.95293959793057,29.0,-64.0,"{'model__max_depth': 26, 'model__max_features': 0.40919616423534183}",-194879.035,"[-1673.42, -4045.12, -10840.993750000001, -287229.72428571427, -11146.935714285713]",[-194879.035],-62987.23875,-194879.035,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[170.0, 13.9, 31.5, 170.0, 340.0, 37.2, 37.0, 32.7, 6.0, 23.0]",0:00:00.072716
1,miyazaki94,CART,random search,RepeatedHoldOut,5,0.9819066914945727,0.8335135783300761,15.773627450980394,469.9463668781238,21.678246397670726,11.000490196078438,83.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-118030.66116334937,"[-2179.88, -8240.944362244898, -11788.419312130174, -221806.93607877722, -230.56682539682538]","[-198653.282784375, -194242.44000000003, -1365.532773668639, -195074.88733710564, -817.1629215976333]",-48849.34931570983,-118030.66116334937,"[58.9, 8.2, 37.1, 58.9, 212.0, 39.5, 48.0, 89.5, 36.9, 50.1]","[38.43235294117647, 38.43235294117647, 38.43235294117647, 38.43235294117647, 222.33333333333334, 38.43235294117647, 38.43235294117647, 38.43235294117647, 38.43235294117647, 38.43235294117647]",0:00:00.298935
