Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,nasa93,CART,grid search,,5,1.0,0.21956576102348413,394.77894736842103,935039.92,966.9746222109451,52.80000000000001,22.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-670920.7094095239,"[-104375.93333333333, -1301162.0320000004, -1278527.3493333336, -459456.56666666665, -211081.66571428571]","[-104375.93333333333, -1301162.0320000004, -1278527.3493333336, -459456.56666666665, -211081.66571428571]",-670920.7094095239,-670920.7094095239,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[107.0, 107.0, 98.8, 409.0, 409.0, 300.0, 300.0, 36.0, 300.0, 42.0, 36.0, 8211.0, 420.0, 36.0, 98.8, 1368.0, 300.0, 18.0, 1772.5]",0:00:00.004050
1,nasa93,CART,grid search,KFold,5,0.9999652915987799,0.34494043049693257,346.72631578947363,784828.2621052632,885.9053347312359,52.80000000000001,34.0,"{'model__max_depth': 10, 'model__max_features': None}",-643284.3314772487,"[-128758.73985185186, -1381383.28, -1213573.2993333335, -355941.47407407407, -136764.86412698412]","[-128758.73985185186, -1381383.28, -1213573.2993333335, -355941.47407407407, -136764.86412698412]",-643284.3314772487,-643284.3314772487,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[89.5, 89.5, 98.8, 409.0, 409.0, 300.0, 300.0, 36.0, 300.0, 42.0, 36.0, 8211.0, 1368.0, 36.0, 98.8, 1368.0, 300.0, 18.0, 1772.5]",0:00:00.583286
1,nasa93,CART,grid search,RepeatedKFold,5,1.0,0.32632218545315494,411.11578947368423,807134.8210526316,898.4068238012396,57.599999999999994,33.0,"{'model__max_depth': None, 'model__max_features': 0.7}",-851469.8915619047,"[-41784.2, -1748416.9093333336, -1230039.920666667, -599231.196, -208748.91999999998]","[-334846.93066666665, -573351.4033333334, -269759.22133333335, -849112.4959999999, -2056251.7185714284, -505181.326, -492401.75066666666, -3458980.3720000004, -396092.9973333333, -184487.93714285715, -1635085.272, -414931.84599999996, -438278.26933333336, -66158.63733333333, -1097128.1957142856]",-765644.2292000001,-851469.8915619047,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[60.0, 60.0, 48.0, 360.0, 360.0, 300.0, 97.0, 36.0, 300.0, 42.0, 36.0, 1350.0, 420.0, 36.0, 48.0, 192.0, 300.0, 18.0, 1772.5]",0:00:01.039611
1,nasa93,CART,grid search,HoldOut,5,0.9226521618685604,0.2714530473831812,453.9492647058823,872873.651961306,934.277074513394,144.20000000000002,27.0,"{'model__max_depth': 5, 'model__max_features': 'log2'}",-88677.37947666009,"[-1016200.3076659015, -1487928.0907601519, -4589341.667435374, -898213.7596452007, -1097572.468691646]",[-88677.37947666009],-1817851.2588396545,-88677.37947666009,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[36.0, 36.0, 208.6, 521.5, 521.5, 701.5625, 701.5625, 36.0, 701.5625, 106.94117647058823, 106.94117647058823, 1200.0, 701.5625, 36.0, 208.6, 701.5625, 208.6, 106.94117647058823, 3051.35]",0:00:00.086504
1,nasa93,CART,grid search,RepeatedHoldOut,5,0.9226521618685604,0.2714530473831812,453.9492647058823,872873.651961306,934.277074513394,144.20000000000002,27.0,"{'model__max_depth': 5, 'model__max_features': 'log2'}",-1274120.4865296148,"[-1016200.3076659015, -1487928.0907601519, -4589341.667435374, -898213.7596452007, -1097572.468691646]","[-88677.37947666009, -193631.85352224417, -2523361.3617660617, -3095556.9015466664, -469374.93633644073]",-1817851.2588396545,-1274120.4865296148,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[36.0, 36.0, 208.6, 521.5, 521.5, 701.5625, 701.5625, 36.0, 701.5625, 106.94117647058823, 106.94117647058823, 1200.0, 701.5625, 36.0, 208.6, 701.5625, 208.6, 106.94117647058823, 3051.35]",0:00:00.356791
1,nasa93,CART,grid search,Bootstrap,5,0.9139836616105396,-0.08145453047835693,585.4989974937344,1295692.970862275,1138.2851008698458,292.8714285714286,-8.0,"{'model__max_depth': 5, 'model__max_features': 1}",-1140449.7485450087,"[-835551.5255658437, -1560926.9125926872, -1384784.9920925929, -182887.01043348672, -1110482.1895284888]","[-720454.5221120972, -835023.7564583333, -1243968.1752827382, -1089854.1299142956, -1211811.8859201185, -1345550.294828234, -5519872.538837737, -1184272.634723457, -930562.5943004116, -3862990.869842453, -1946562.6815968258, -874610.1294219255, -771448.7689423077, -947599.8363937472, -5270777.497099999, -2261518.1031196583, -908070.0299808343, -1261300.4600610125, -501071.1474873312, -454932.3326912352, -641450.1436497014, -1148078.862277778, -1628595.7190094185, -413983.77298919053, -674970.2347003579, -575805.318839758, -1249695.6499595102, -887641.6160445581, -1045047.3215963442, -6481345.930408547, -637702.5328885762, -2282331.104825721, -2146010.137586207, -3923972.70192906, -803940.0665722848, -1374773.8186657596, -539227.1838685032, -579797.9171255543, -2159257.8360949727, -1854266.4144425835, -635956.8508037255, -558042.3828036638, -975351.1806720096, -869107.4277555555, -5764236.953017233, -836965.2556441327, -1222210.8812103837, -1369576.6039343274, -1125391.6283706217, -2127739.5317112943]",-1014926.5260426197,-1593494.5073682421,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[410.4714285714286, 410.4714285714286, 146.5, 409.0, 409.0, 410.4714285714286, 2120.0, 410.4714285714286, 615.0, 244.5, 110.25, 409.0, 571.4, 410.4714285714286, 146.5, 597.3333333333334, 110.25, 146.5, 1848.5]",0:00:02.737813
0,nasa93,CART,random search,,5,1.0,0.21956576102348413,394.77894736842103,935039.92,966.9746222109451,52.80000000000001,22.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-670920.7094095239,"[-104375.93333333333, -1301162.0320000004, -1278527.3493333336, -459456.56666666665, -211081.66571428571]","[-104375.93333333333, -1301162.0320000004, -1278527.3493333336, -459456.56666666665, -211081.66571428571]",-670920.7094095239,-670920.7094095239,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[107.0, 107.0, 98.8, 409.0, 409.0, 300.0, 300.0, 36.0, 300.0, 42.0, 36.0, 8211.0, 420.0, 36.0, 98.8, 1368.0, 300.0, 18.0, 1772.5]",0:00:00.001998
1,nasa93,CART,random search,KFold,5,1.0,0.20324757032642116,419.43157894736845,954590.7789473683,977.0316161452342,52.80000000000001,20.0,"{'model__max_depth': 15, 'model__max_features': 0.8123957592679836}",-656916.4865904764,"[-272542.2, -1496766.7360000003, -551656.1793333333, -424469.68333333335, -539147.6342857142]","[-272542.2, -1496766.7360000003, -551656.1793333333, -424469.68333333335, -539147.6342857142]",-656916.4865904764,-656916.4865904764,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[72.0, 72.0, 90.0, 409.0, 409.0, 300.0, 252.0, 36.0, 300.0, 48.0, 36.0, 8211.0, 444.0, 36.0, 90.0, 192.0, 300.0, 18.0, 1772.5]",0:00:00.377215
1,nasa93,CART,random search,RepeatedKFold,5,0.9996911808431972,0.21257372738574565,418.03421052631575,943417.0903581871,971.2966026699502,52.80000000000001,21.0,"{'model__max_depth': 8, 'model__max_features': 0.810305017628691}",-777510.9461273416,"[-151612.31393185185, -1472943.3210778534, -1225771.7841481483, -340291.84288775513, -322475.7425396825]","[-127244.80263374485, -1194710.9443333335, -186785.5, -414654.08340740745, -1326382.5928571431, -407154.05535185186, -765505.6885702478, -3317020.8473333335, -287631.97229931975, -270707.8685714286, -1640724.8093333335, -1186618.3840289258, -207209.30154666668, -60412.910814814815, -269900.43082857144]",-702619.0009170582,-777510.9461273416,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[157.625, 157.625, 98.8, 444.0, 409.0, 300.0, 97.0, 36.0, 235.33333333333334, 45.0, 36.0, 8211.0, 420.0, 36.0, 98.8, 1368.0, 300.0, 22.666666666666668, 1924.5]",0:00:01.000986
1,nasa93,CART,random search,HoldOut,5,0.9989186993049474,0.6437280487445808,349.2333333333334,426850.1818128655,653.337724161758,67.19999999999999,64.0,"{'model__max_depth': 9, 'model__max_features': 0.3455361150896956}",-84454.664,"[-655114.2019999999, -1336481.104, -538779.8593333332, -779358.582, -481703.67968253966]",[-84454.664],-758287.4854031745,-84454.664,"[117.6, 117.6, 62.0, 750.0, 703.0, 432.0, 370.0, 31.2, 636.0, 42.0, 50.0, 4560.0, 2400.0, 25.2, 70.0, 973.0, 352.8, 24.0, 1645.9]","[50.4, 50.4, 51.0, 232.8, 409.0, 600.0, 192.0, 50.4, 882.0, 51.0, 50.4, 2400.0, 1200.0, 50.4, 105.33333333333333, 1368.0, 300.0, 48.0, 480.0]",0:00:00.099911
