Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,5,1.0,-1.3393500729770613,5704.615384615385,90284144.15384616,9501.796890791034,2186.0,-134.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-53143970.64666666,"[-78175856.1, -81777675.5, -4268879.6, -30777097.7, -70720344.33333333]","[-78175856.1, -81777675.5, -4268879.6, -30777097.7, -70720344.33333333]",-53143970.64666666,-53143970.64666666,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[3600.0, 963.0, 5931.0, 37286.0, 1520.0, 1100.0, 6816.0, 15052.0, 37286.0, 8752.0, 5931.0, 5931.0, 8752.0]",0:00:00.004006
1,maxwell,CART,grid search,KFold,5,1.0,-0.20606838410836548,4461.846153846154,46546625.538461536,6822.508742278132,1937.0,-21.0,"{'model__max_depth': None, 'model__max_features': 0.7}",-46988330.22444444,"[-175008459.3, -26837944.5, -5518466.7, -20955306.4, -6621474.222222222]","[-175008459.3, -26837944.5, -5518466.7, -20955306.4, -6621474.222222222]",-46988330.22444444,-46988330.22444444,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[2826.0, 4150.0, 5787.0, 4456.0, 1798.0, 4557.0, 7451.0, 25910.0, 11039.0, 9369.0, 6816.0, 7451.0, 9700.0]",0:00:00.438811
1,maxwell,CART,grid search,RepeatedKFold,5,0.9999832192127044,-1.7273543085715786,6042.000000000001,105258658.11965813,10259.564226596474,2160.666666666666,-173.0,"{'model__max_depth': 10, 'model__max_features': None}",-52571764.67185185,"[-78175856.1, -81777675.5, -4268879.6, -30777097.7, -70720344.33333333]","[-11752276.6, -152246442.1, -18110145.5, -64338459.2, -27687878.222222224, -31361747.9, -65239606.4, -9686387.0, -17050939.6, -166956718.33333334, -35919118.3, -5932787.1, -17692524.4, -158273030.2, -6328409.222222222]",-53143970.64666666,-52571764.67185185,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[3600.0, 963.0, 5931.0, 39479.0, 1520.0, 1100.0, 6816.0, 15052.0, 39479.0, 8862.333333333334, 5931.0, 5931.0, 8862.333333333334]",0:00:00.745443
1,maxwell,CART,grid search,HoldOut,5,0.9935056929442065,-0.02014529458261194,4054.769230769231,39371168.04273505,6274.644853912853,1839.0,-2.0,"{'model__max_depth': 5, 'model__max_features': 0.7}",-11467102.69236111,"[-258766517.877392, -25476857.82916667, -8303636.346000001, -29278797.030500002, -9203598.867283951]",[-11467102.69236111],-66205881.59006852,-11467102.69236111,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[2578.0, 11039.0, 4421.833333333333, 8523.0, 2578.0, 5279.0, 7385.5, 15052.0, 11039.0, 8523.0, 4421.833333333333, 7385.5, 8523.0]",0:00:00.088190
1,maxwell,CART,grid search,RepeatedHoldOut,5,0.9999832192127044,-1.7273543085715786,6042.000000000001,105258658.11965813,10259.564226596474,2160.666666666666,-173.0,"{'model__max_depth': 10, 'model__max_features': None}",-29466937.160000004,"[-78175856.1, -81777675.5, -4268879.6, -30777097.7, -70720344.33333333]","[-11752276.6, -31361747.9, -35919118.3, -38416062.0, -29885481.0]",-53143970.64666666,-29466937.160000004,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[3600.0, 963.0, 5931.0, 39479.0, 1520.0, 1100.0, 6816.0, 15052.0, 39479.0, 8862.333333333334, 5931.0, 5931.0, 8862.333333333334]",0:00:00.280859
1,maxwell,CART,grid search,Bootstrap,5,1.0,-1.3393500729770613,5704.615384615385,90284144.15384616,9501.796890791034,2186.0,-134.0,"{'model__max_depth': None, 'model__max_features': None}",-64429711.24710305,"[-78175856.1, -81777675.5, -4268879.6, -30777097.7, -70720344.33333333]","[-14248940.11764706, -48116221.625, -76960325.72727273, -105220100.77777778, -54676170.8125, -58442619.722222224, -62098298.93333333, -80751657.69565217, -23634872.76470588, -99951271.73684211, -94436161.1, -39467295.0, -15153161.6875, -12599919.583333334, -24123951.3125, -56691965.88235294, -41632406.78947368, -6484867.6, -100400836.63157895, -54612176.277777776, -35020184.9, -90136480.83333333, -145272429.5, -47760355.76190476, -39180479.15, -51634507.4375, -8509803.529411765, -37624449.421052635, -72812390.33333333, -96629046.5625, -5948055.625, -15497201.681818182, -18753914.5, -230621474.65, -35095115.6875, -53625009.95454545, -47684035.777777776, -24323965.36842105, -44659697.45, -43063328.8125, -57857382.64705882, -53428899.125, -46121036.5882353, -82094152.6, -10543935.2, -75601587.7, -52682157.684210524, -54843268.722222224, -105646618.52941176, -42422036.84210526]",-53143970.64666666,-55895924.48704624,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[3600.0, 963.0, 5931.0, 37286.0, 1520.0, 1100.0, 6816.0, 15052.0, 37286.0, 8752.0, 5931.0, 5931.0, 8752.0]",0:00:02.177907
0,maxwell,CART,random search,,5,1.0,-1.3393500729770613,5704.615384615385,90284144.15384616,9501.796890791034,2186.0,-134.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-53143970.64666666,"[-78175856.1, -81777675.5, -4268879.6, -30777097.7, -70720344.33333333]","[-78175856.1, -81777675.5, -4268879.6, -30777097.7, -70720344.33333333]",-53143970.64666666,-53143970.64666666,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[3600.0, 963.0, 5931.0, 37286.0, 1520.0, 1100.0, 6816.0, 15052.0, 37286.0, 8752.0, 5931.0, 5931.0, 8752.0]",0:00:00.003005
1,maxwell,CART,random search,KFold,5,1.0,-0.20606838410836548,4461.846153846154,46546625.538461536,6822.508742278132,1937.0,-21.0,"{'model__max_depth': 29, 'model__max_features': 0.7177951105625409}",-46988330.22444444,"[-175008459.3, -26837944.5, -5518466.7, -20955306.4, -6621474.222222222]","[-175008459.3, -26837944.5, -5518466.7, -20955306.4, -6621474.222222222]",-46988330.22444444,-46988330.22444444,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[2826.0, 4150.0, 5787.0, 4456.0, 1798.0, 4557.0, 7451.0, 25910.0, 11039.0, 9369.0, 6816.0, 7451.0, 9700.0]",0:00:00.301530
1,maxwell,CART,random search,RepeatedKFold,5,0.9810823724584998,-4.650336919960465,7106.179487179486,218067333.69764954,14767.103090912908,2237.416666666667,-465.00000000000006,"{'model__max_depth': 4, 'model__max_features': 0.959541228979397}",-50798882.845861405,"[-154024856.31473765, -19327239.08622449, -3289763.217, -29839135.85277778, -74871129.85726796]","[-18031246.501652893, -148181028.85621303, -14667540.43759566, -122657084.2, -71437605.53277726, -34590959.93322449, -23664042.22361685, -10293987.10139053, -19127907.20059259, -165924726.35225907, -50539995.153125, -3876817.1051438944, -11326268.710473357, -61405573.50717121, -6258459.872685186]",-56270424.86560158,-50798882.845861405,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[5039.916666666667, 1202.5833333333333, 5039.916666666667, 25910.0, 1202.5833333333333, 1202.5833333333333, 5039.916666666667, 15052.0, 63694.0, 7618.916666666667, 5039.916666666667, 5039.916666666667, 7618.916666666667]",0:00:00.799410
1,maxwell,CART,random search,HoldOut,5,1.0,-1.9993528809477343,6390.461538461538,115756085.84615384,10759.000225213951,2966.0,-200.0,"{'model__max_depth': 17, 'model__max_features': 0.48114598712001183}",-6474700.3,"[-317193218.4, -24194352.2, -50463344.3, -24399021.1, -133971808.44444445]",[-6474700.3],-110044348.88888888,-6474700.3,"[4047.0, 1755.0, 3850.0, 18500.0, 1981.0, 3440.0, 7105.0, 13700.0, 14000.0, 4224.0, 21272.0, 8117.0, 11023.0]","[2330.0, 1450.0, 6816.0, 9369.0, 963.0, 963.0, 5931.0, 9125.0, 11039.0, 37286.0, 5578.0, 4150.0, 15052.0]",0:00:00.076483
