Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,desharnais,CART,grid search,,10,1.0,-1.0213758228102585,3538.6875,22150952.8125,4706.479874864016,3433.5,-102.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-28486045.1,"[-10513566.0, -80136429.66666667, -11404031.333333334, -618665.8333333334, -18801161.166666668, -61970536.833333336, -8882123.833333334, -9568132.333333334, -2164412.0, -80801392.0]","[-10513566.0, -80136429.66666667, -11404031.333333334, -618665.8333333334, -18801161.166666668, -61970536.833333336, -8882123.833333334, -9568132.333333334, -2164412.0, -80801392.0]",-28486045.1,-28486045.1,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[5880.0, 2569.0, 3626.0, 10577.0, 1617.0, 3948.0, 14434.0, 2429.0, 9135.0, 7854.0, 3948.0, 5775.0, 2989.0, 14434.0, 2429.0, 1435.0]",0:00:00.003002
1,desharnais,CART,grid search,KFold,10,0.5415531338210858,-0.7185956237207083,3086.5663265306125,18832980.060027074,4339.698153100867,1879.9897959183672,-72.0,"{'model__max_depth': 1, 'model__max_features': None}",-11488745.146976484,"[-3776341.5230588284, -38561712.90518519, -3734181.1326618455, -1732389.0264106728, -20810015.549328513, -3237806.459218107, -6470550.341193415, -14082995.06594353, -2566385.498287362, -19915073.96847737]","[-3776341.5230588284, -38561712.90518519, -3734181.1326618455, -1732389.0264106728, -20810015.549328513, -3237806.459218107, -6470550.341193415, -14082995.06594353, -2566385.498287362, -19915073.96847737]",-11488745.146976484,-11488745.146976484,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[3157.4897959183672, 3157.4897959183672, 3157.4897959183672, 11214.0, 3157.4897959183672, 3157.4897959183672, 11214.0, 3157.4897959183672, 11214.0, 3157.4897959183672, 3157.4897959183672, 3157.4897959183672, 3157.4897959183672, 11214.0, 3157.4897959183672, 3157.4897959183672]",0:00:00.396337
1,desharnais,CART,grid search,RepeatedKFold,10,0.5415531338210858,-0.7185956237207083,3086.5663265306125,18832980.060027074,4339.698153100867,1879.9897959183672,-72.0,"{'model__max_depth': 1, 'model__max_features': None}",-12016118.390052885,"[-3776341.5230588284, -38561712.90518519, -3734181.1326618455, -1732389.0264106728, -20810015.549328513, -3237806.459218107, -6470550.341193415, -14082995.06594353, -2566385.498287362, -19915073.96847737]","[-966183.10430839, -3572039.9660082296, -66286245.14611762, -3404788.5659816116, -16753945.329201102, -29615013.816646095, -4654157.988722451, -6400903.684592989, -2924963.752839373, -5755348.892303719, -4312718.35430839, -8899694.58023416, -1911018.7621384298, -49131073.62082305, -1570132.304752066, -16385625.275223829, -3476723.1233333326, -4618912.949380164, -3915259.3166255145, -12448731.822141873, -6836306.376265162, -4103155.0472623967, -2415234.648098071, -2234089.408418965, -4831244.986666667, -19488873.30539095, -5593280.207988981, -29020315.000000004, -1252189.1633315308, -37705383.20248138]",-11488745.146976484,-12016118.390052885,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[3157.4897959183672, 3157.4897959183672, 3157.4897959183672, 11214.0, 3157.4897959183672, 3157.4897959183672, 11214.0, 3157.4897959183672, 11214.0, 3157.4897959183672, 3157.4897959183672, 3157.4897959183672, 3157.4897959183672, 11214.0, 3157.4897959183672, 3157.4897959183672]",0:00:00.790190
1,desharnais,CART,grid search,HoldOut,10,1.0,-0.6029058776612313,2716.1875,17565210.8125,4191.08706811252,1648.5,-60.0,"{'model__max_depth': None, 'model__max_features': 0.7}",-9117171.307692308,"[-3976364.0, -59173739.333333336, -16878311.333333332, -636126.1666666666, -24945018.0, -4604097.166666667, -12205303.833333334, -7720366.5, -4710249.0, -38547826.333333336]",[-9117171.307692308],-17339740.166666668,-9117171.307692308,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[11361.0, 2331.0, 3542.0, 7252.0, 1876.0, 11361.0, 7252.0, 3542.0, 7252.0, 4977.0, 3437.0, 3948.0, 2149.0, 7252.0, 3542.0, 9135.0]",0:00:00.053930
1,desharnais,CART,grid search,RepeatedHoldOut,10,0.7770404784171717,-0.5358668657683363,2872.858664772728,16830573.555895425,4102.508203025976,1610.0,-54.0,"{'model__max_depth': 2, 'model__max_features': None}",-11694046.21514969,"[-3232144.0393391633, -81312947.80674165, -2938086.712007391, -1441635.3979591837, -15867798.282494418, -5019089.385674931, -8827891.975206612, -14580423.766810892, -2145126.0277777775, -14611474.96498656]","[-10743624.34735043, -5755928.346666668, -5490390.598190706, -6976473.090640318, -9157715.077581903, -22703323.100982904, -2730424.4130199435, -9823315.673632478, -29858788.604745105, -13700478.898686428]",-14997661.83589986,-11694046.21514969,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665]",0:00:00.257591
1,desharnais,CART,grid search,Bootstrap,10,0.7770404784171717,-0.5358668657683363,2872.858664772728,16830573.555895425,4102.508203025976,1610.0,-54.0,"{'model__max_depth': 2, 'model__max_features': None}",-14277014.583349058,"[-3232144.0393391633, -81312947.80674165, -2938086.712007391, -1441635.3979591837, -15867798.282494418, -5019089.385674931, -8827891.975206612, -14580423.766810892, -2145126.0277777775, -14611474.96498656]","[-15193744.993115645, -9527481.19753674, -32176180.687904134, -22633702.91713966, -10638367.10330035, -31034792.290724423, -19124246.619115647, -17395717.46612206, -9635034.695474898, -8050468.8680296885, -10743233.466588965, -22565940.583382238, -7676718.138442923, -8406373.236783855, -16354923.921558598, -18784803.741188508, -9798392.988013502, -11120123.1133937, -5730907.522404443, -11132649.620102711, -21867169.71323276, -8655668.798704794, -20539232.3225, -6190372.813113657, -17807987.207034174, -9549943.986847645, -31213554.26491152, -7660189.600953119, -19097353.232882846, -4920846.778000485, -12849506.687043771, -15374805.427366288, -6506782.3253630735, -7257343.923868315, -15208952.314652594, -21242509.367034588, -17874395.128826775, -16197766.869240476, -11633273.578722266, -18323352.246654592, -23207240.850004006, -17782189.616420727, -20401775.45385554, -10634594.62144046, -9668044.318527495, -9418802.057893086, -24878395.6897744, -7136309.180347592, -11153143.801215779, -35812623.97160048]",-14997661.83589986,-15155758.58636712,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 2956.1041666666665, 10057.09090909091, 2956.1041666666665, 2956.1041666666665]",0:00:01.181927
0,desharnais,CART,random search,,10,1.0,-1.0213758228102585,3538.6875,22150952.8125,4706.479874864016,3433.5,-102.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-28486045.1,"[-10513566.0, -80136429.66666667, -11404031.333333334, -618665.8333333334, -18801161.166666668, -61970536.833333336, -8882123.833333334, -9568132.333333334, -2164412.0, -80801392.0]","[-10513566.0, -80136429.66666667, -11404031.333333334, -618665.8333333334, -18801161.166666668, -61970536.833333336, -8882123.833333334, -9568132.333333334, -2164412.0, -80801392.0]",-28486045.1,-28486045.1,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[5880.0, 2569.0, 3626.0, 10577.0, 1617.0, 3948.0, 14434.0, 2429.0, 9135.0, 7854.0, 3948.0, 5775.0, 2989.0, 14434.0, 2429.0, 1435.0]",0:00:00.002000
1,desharnais,CART,random search,KFold,10,0.9978989296989322,-1.0418812227726915,3499.352272727273,22375658.254132234,4730.291561218212,2926.0,-104.0,"{'model__max_depth': 9, 'model__max_features': 0.3455361150896956}",-10577221.55925926,"[-9626725.888888886, -42641818.1875, -958044.0, -2303624.75, -3597139.0, -2496617.375, -20100077.666666668, -5913128.537037037, -5129743.979166667, -13005296.208333334]","[-9626725.888888886, -42641818.1875, -958044.0, -2303624.75, -3597139.0, -2496617.375, -20100077.666666668, -5913128.537037037, -5129743.979166667, -13005296.208333334]",-10577221.55925926,-10577221.55925926,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[12824.0, 2516.818181818182, 3626.0, 3913.0, 2516.818181818182, 14987.0, 7854.0, 3626.0, 3542.0, 7854.0, 3437.0, 5775.0, 2275.0, 3626.0, 7854.0, 1435.0]",0:00:00.323963
1,desharnais,CART,random search,RepeatedKFold,10,0.686391774633766,0.1562282592431864,2157.3359375,9246349.839111328,3040.781123183865,1291.671875,16.0,"{'model__max_depth': 2, 'model__max_features': 0.42727747704497043}",-12221660.702901809,"[-10707445.523919752, -30292453.37961236, -15308763.459259259, -1188179.4042784749, -6897330.472654321, -9022855.784578571, -26248839.21601131, -3635793.739795918, -4986036.120740741, -11318906.89214229]","[-6850285.071552029, -9989925.29397509, -49210664.3962585, -11840246.09375, -8409649.016200112, -28431886.705059215, -4200732.229166667, -10416674.919651693, -4016148.12828623, -7572335.891702359, -12100039.868330304, -5271274.0214, -6650012.875837069, -29894827.293663148, -3826260.69821534, -8425252.212016461, -5774415.454861111, -20680476.241030093, -16238402.622614304, -3207852.437954499, -9718898.037848324, -9258871.74089695, -3914665.661585799, -10449979.37963139, -19314011.71592935, -7685666.888605442, -12515380.165600091, -9697764.620925926, -1532731.7812244901, -29554489.623282313]",-11960660.399299301,-12221660.702901809,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[8594.6875, 2332.40625, 4432.75, 4432.75, 2332.40625, 8594.6875, 4432.75, 4432.75, 4432.75, 2332.40625, 4432.75, 8594.6875, 2332.40625, 4432.75, 4432.75, 8594.6875]",0:00:00.738224
1,desharnais,CART,random search,HoldOut,10,0.9973380271968522,0.033797268647180134,2225.39453125,10587992.033935547,3253.919487930755,1337.65625,3.0,"{'model__max_depth': 7, 'model__max_features': 0.8575800908021629}",-3853132.458867521,"[-15651315.75, -48493121.875, -26607892.7962963, -1828982.8200000003, -10409720.148333333, -10212238.417824075, -16760098.73251029, -5966926.0, -5344133.475345167, -3817493.6966907736]",[-3853132.458867521],-14509192.371199992,-3853132.458867521,"[1400.0, 2174.0, 3983.0, 4067.0, 1155.0, 8232.0, 5180.0, 6405.0, 9051.0, 4172.0, 3164.0, 14973.0, 3647.0, 6699.0, 4004.0, 4620.0]","[5880.0, 2542.3125, 3584.0, 7252.0, 2542.3125, 9520.0, 7252.0, 3584.0, 3829.0, 3913.0, 3437.0, 5775.0, 2542.3125, 3584.0, 3913.0, 4277.0]",0:00:00.065984
