Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,maxwell,CART,grid search,,10,1.0,-0.5562062122013707,3907.3846153846152,25364983.846153848,5036.366135037627,2884.0,-56.00000000000001,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-130807569.56499998,"[-10617029.6, -5167867.0, -574759211.4, -109543459.0, -60454195.6, -148829667.8, -162739700.2, -76705782.2, -152679375.6, -6579407.25]","[-10617029.6, -5167867.0, -574759211.4, -109543459.0, -60454195.6, -148829667.8, -162739700.2, -76705782.2, -152679375.6, -6579407.25]",-130807569.56499998,-130807569.56499998,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[5100.0, 6816.0, 6816.0, 6816.0, 25910.0, 4224.0, 6816.0, 9369.0, 963.0, 6800.0, 1798.0, 10447.0, 5578.0]",0:00:00.002998
1,maxwell,CART,grid search,KFold,10,1.0,-11.145504037001555,6923.076923076923,197962526.6153846,14069.915657721072,3034.0,-1115.0,"{'model__max_depth': 10, 'model__max_features': 'log2'}",-87911121.44,"[-15462386.0, -6485815.2, -364040943.6, -20273734.8, -4072661.0, -57000592.8, -295372808.2, -19030776.4, -84186384.4, -13185112.0]","[-15462386.0, -6485815.2, -364040943.6, -20273734.8, -4072661.0, -57000592.8, -295372808.2, -19030776.4, -84186384.4, -13185112.0]",-87911121.44,-87911121.44,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[4224.0, 796.0, 63694.0, 845.0, 6816.0, 2565.0, 4456.0, 13700.0, 1798.0, 5100.0, 4150.0, 1060.0, 2565.0]",0:00:02.342410
1,maxwell,CART,grid search,RepeatedKFold,10,0.986409065605404,-2.5391792461435596,4202.328754578754,57685943.99844105,7595.126331960585,1953.5,-254.0,"{'model__max_depth': 5, 'model__max_features': 'sqrt'}",-90717747.75549617,"[-9778316.016163265, -3996580.6833333327, -375432581.24027777, -103171976.6125, -2186056.7, -98978430.8, -289883883.8165816, -14488655.4, -208636141.45555556, -11419445.81]","[-46692852.333680555, -122297605.74693878, -5826099.649433106, -89438558.84355555, -290200317.8263889, -2508544.9120000005, -43299975.8, -43616186.865787975, -11056687.494444445, -66419012.5, -79543245.49244443, -37470573.7805, -290403366.4211569, -7151847.6, -137994059.7888889, -89443482.27425, -8349351.05, -18199654.120663263, -92599110.3611111, -12121174.527777776, -24468269.488888886, -45413913.81122449, -303417260.3625, -18108301.342013888, -17103630.232, -5264906.228125, -690940586.5555556, -99245221.6, -12418082.655555556, -10520553.0]",-111797206.85344115,-90717747.75549617,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[5100.0, 5100.0, 21272.0, 872.5, 39479.0, 4000.0, 7888.142857142857, 13700.0, 5898.666666666667, 5100.0, 8587.75, 3912.0, 4071.5]",0:00:00.879136
1,maxwell,CART,grid search,HoldOut,10,1.0,-10.327761677104249,10543.461538461539,184633944.84615386,13588.007390568857,7945.0,-1033.0,"{'model__max_depth': None, 'model__max_features': 1}",-60590810.0,"[-19148484.2, -2118465.4, -86101386.0, -46248370.2, -12882933.0, -47333510.8, -832829789.2, -33531751.8, -272480130.2, -792432460.75]",[-60590810.0],-214510728.155,-60590810.0,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[3850.0, 900.0, 21272.0, 1651.0, 25910.0, 18500.0, 1755.0, 1798.0, 21272.0, 11023.0, 18500.0, 39479.0, 1798.0]",0:00:00.064534
1,maxwell,CART,grid search,RepeatedHoldOut,10,1.0,-0.5562062122013707,3907.3846153846152,25364983.846153848,5036.366135037627,2884.0,-56.00000000000001,"{'model__max_depth': None, 'model__max_features': None}",-92735262.13,"[-10617029.6, -5167867.0, -574759211.4, -109543459.0, -60454195.6, -148829667.8, -162739700.2, -76705782.2, -152679375.6, -6579407.25]","[-147465772.5, -40502098.9, -59280975.0, -46222065.9, -164481036.8, -288876146.8, -100816885.1, -38134740.3, -8233432.9, -33339467.1]",-130807569.56499998,-92735262.13,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[5100.0, 6816.0, 6816.0, 6816.0, 25910.0, 4224.0, 6816.0, 9369.0, 963.0, 6800.0, 1798.0, 10447.0, 5578.0]",0:00:00.330309
1,maxwell,CART,grid search,Bootstrap,10,0.994881773907922,-11.910428254658305,7355.261538461538,210430212.62786323,14506.212897509233,4073.7,-1191.0,"{'model__max_depth': 5, 'model__max_features': None}",-88995568.61040191,"[-10773050.407555554, -6910135.783802467, -590430176.625, -111530307.1, -62162514.696875, -178616917.72007257, -308660385.94049585, -81893171.38755557, -220870866.45, -60069983.49845041]","[-125278340.68135622, -76290729.79040104, -95430077.15596491, -24267747.853888888, -54098252.468333334, -55025287.16812541, -58591312.80225296, -90643840.73528576, -60805232.962965205, -159470367.26849675, -373730621.22645724, -55030451.88029971, -141834857.46643826, -59386612.612279825, -293140422.40849674, -59844797.5425926, -54221958.33542484, -90328029.03835978, -181515168.83882356, -133800921.62451813, -49631536.50399975, -54120393.81657167, -172505543.51742467, -15405132.786301032, -35892129.16651315, -48623478.431668945, -86536462.83049142, -48045933.33959202, -235892331.20549142, -107276001.98685873, -20516284.280092593, -6238703.158829364, -60207436.99082427, -52191862.80224555, -205274571.13760158, -70857580.29216373, -48552805.662832245, -94635933.4149597, -126548561.74652776, -277212030.0097169, -48795198.47292397, -152841285.83438268, -64856012.99476297, -178509764.50536704, -78144697.5179192, -176860329.46021947, -259283659.341687, -45620719.310258105, -172569463.12586418, -168609785.127672]",-163191750.96098074,-108099813.17265049,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[4636.3, 4636.3, 4636.3, 4636.3, 63694.0, 4636.3, 4636.3, 8140.333333333333, 935.0, 8140.333333333333, 1798.0, 10447.0, 4620.0]",0:00:01.276417
0,maxwell,CART,random search,,10,1.0,-0.5562062122013707,3907.3846153846152,25364983.846153848,5036.366135037627,2884.0,-56.00000000000001,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-130807569.56499998,"[-10617029.6, -5167867.0, -574759211.4, -109543459.0, -60454195.6, -148829667.8, -162739700.2, -76705782.2, -152679375.6, -6579407.25]","[-10617029.6, -5167867.0, -574759211.4, -109543459.0, -60454195.6, -148829667.8, -162739700.2, -76705782.2, -152679375.6, -6579407.25]",-130807569.56499998,-130807569.56499998,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[5100.0, 6816.0, 6816.0, 6816.0, 25910.0, 4224.0, 6816.0, 9369.0, 963.0, 6800.0, 1798.0, 10447.0, 5578.0]",0:00:00.002999
1,maxwell,CART,random search,KFold,10,1.0,-11.595536077476677,6916.076923076923,205297708.3846154,14328.21371925389,3560.0,-1160.0,"{'model__max_depth': 12, 'model__max_features': 0.9569868963110251}",-78325301.075,"[-10683083.6, -1964440.6, -54840594.6, -44595170.8, -60975535.6, -136772138.8, -288329794.8, -79689160.8, -102938348.4, -2464742.75]","[-10683083.6, -1964440.6, -54840594.6, -44595170.8, -60975535.6, -136772138.8, -288329794.8, -79689160.8, -102938348.4, -2464742.75]",-78325301.075,-78325301.075,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[5100.0, 6816.0, 5931.0, 6816.0, 63694.0, 4456.0, 5931.0, 9369.0, 583.0, 6800.0, 11023.0, 10447.0, 4620.0]",0:00:00.368354
1,maxwell,CART,random search,RepeatedKFold,10,1.0,-11.595536077476677,6916.076923076923,205297708.3846154,14328.21371925389,3560.0,-1160.0,"{'model__max_depth': 12, 'model__max_features': 0.9569868963110251}",-67947982.90333334,"[-10683083.6, -1964440.6, -54840594.6, -44595170.8, -60975535.6, -136772138.8, -288329794.8, -79689160.8, -102938348.4, -2464742.75]","[-73445605.2, -124216568.8, -4613126.8, -20800486.0, -419977341.2, -4363877.8, -8177090.8, -32655265.4, -66002178.2, -198548711.5, -62197171.0, -51630171.8, -135679792.0, -3851210.0, -26266159.0, -49646510.2, -12965921.2, -32977929.2, -125009899.8, -19421973.0, -7167162.4, -40721434.0, -63318250.2, -17128293.6, -8816952.2, -44561611.8, -233240496.2, -117818740.6, -19455596.2, -13763961.0]",-78325301.075,-67947982.90333334,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[5100.0, 6816.0, 5931.0, 6816.0, 63694.0, 4456.0, 5931.0, 9369.0, 583.0, 6800.0, 11023.0, 10447.0, 4620.0]",0:00:00.898161
1,maxwell,CART,random search,HoldOut,10,0.9999963779463913,-13.875197559538513,8121.923076923077,242454465.76923078,15570.949417721155,2453.0,-1388.0,"{'model__max_depth': 8, 'model__max_features': 0.3038654819865217}",-52106761.3,"[-23025619.6, -10368959.45, -42178031.0, -16248184.25, -37647971.8, -253337999.6, -642441681.2, -18182539.8, -426762524.4, -74305638.5]",[-52106761.3],-154449914.95999998,-52106761.3,"[4557.0, 8710.0, 15052.0, 2826.0, 14000.0, 5787.0, 9700.0, 11039.0, 1981.0, 3240.0, 7184.0, 4047.0, 7320.0]","[3440.0, 796.0, 63694.0, 5279.0, 39479.0, 2565.0, 7451.0, 11900.0, 583.0, 796.0, 2565.0, 3440.0, 11900.0]",0:00:00.066341
