Tuned,Dataset,Regressor,Hyper_param_method,Validation_method,n_splits,score_train,score_test,MAE,MSE,RMSE,MedianAE,R2,best_params,best_score, cross_val_score,cross_val_score_valid,cross_val_score_mean,cross_val_score_vslid_mean,target_values,predicted_target_values,time_tuning
0,miyazaki94,CART,grid search,,10,1.0,0.2554910748124578,152.41000000000003,157594.271,396.9814491887499,17.45,26.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-9673.915250000002,"[-952.6299999999999, -545.01, -1725.6675, -58100.08750000001, -24089.362500000003, -637.485, -9009.2375, -1597.1525000000001, -45.903333333333286, -36.61666666666667]","[-952.6299999999999, -545.01, -1725.6675, -58100.08750000001, -24089.362500000003, -637.485, -9009.2375, -1597.1525000000001, -45.903333333333286, -36.61666666666667]",-9673.915250000002,-9673.915250000002,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[340.0, 37.0, 20.1, 27.5, 340.0, 31.5, 18.0, 36.9, 59.1, 48.0]",0:00:00.002000
1,miyazaki94,CART,grid search,KFold,10,1.0,0.04733380187953229,166.64000000000001,201656.05800000002,449.0613076184587,22.65,5.0,"{'model__max_depth': None, 'model__max_features': 1}",-4241.16475,"[-1460.8874999999998, -748.3625, -1760.465, -6823.889999999999, -20203.225, -4442.1875, -3771.9275, -1862.0524999999998, -356.52666666666664, -982.1233333333333]","[-1460.8874999999998, -748.3625, -1760.465, -6823.889999999999, -20203.225, -4442.1875, -3771.9275, -1862.0524999999998, -356.52666666666664, -982.1233333333333]",-4241.16475,-4241.16475,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[157.0, 37.0, 36.9, 36.9, 170.0, 34.3, 89.5, 52.0, 52.0, 43.8]",0:00:00.370589
1,miyazaki94,CART,grid search,RepeatedKFold,10,0.9999945546610061,0.030913632245359257,163.79000000000002,205131.805,452.9147877912577,21.45,3.0,"{'model__max_depth': 10, 'model__max_features': None}",-3250.424513888888,"[-952.6299999999999, -269.58624999999995, -1725.6675, -58100.08750000001, -24089.362500000003, -676.3125, -9009.2375, -1597.1525000000001, -45.903333333333286, -36.61666666666667]","[-13.834999999999996, -1949.1875, -155.9075, -1734.3249999999998, -100.7375, -746.4449999999999, -190.305, -488.6125, -31489.846666666668, -547.9466666666667, -413.67749999999995, -1075.778125, -15803.55, -124.57749999999994, -1663.2275, -288.275, -853.6574999999998, -1209.220625, -157.0875, -81.33749999999999, -762.6899999999999, -553.605, -448.1550000000001, -23717.2975, -7538.8525, -413.32749999999993, -512.9825, -741.375, -1731.6266666666668, -2005.2866666666666]",-9650.255625000002,-3250.424513888888,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[170.0, 36.699999999999996, 20.1, 27.5, 157.0, 31.5, 18.0, 36.9, 59.1, 31.5]",0:00:00.649919
1,miyazaki94,CART,grid search,HoldOut,10,0.9847847985704616,0.04888236700821025,158.8927272727273,201328.26476033058,448.6961831354604,11.7,5.0,"{'model__max_depth': 5, 'model__max_features': None}",-930.4810677083333,"[-544.92578125, -210.35922426035492, -2872.038611111111, -58100.41750000001, -23109.64361111111, -732.2715000000002, -8952.619305555556, -1319.166605902778, -6.297766666666683, -41.0537037037037]",[-930.4810677083333],-9588.879360956129,-930.4810677083333,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[157.0, 36.35454545454546, 20.1, 36.35454545454546, 170.0, 36.35454545454546, 36.35454545454546, 29.0, 54.6, 36.35454545454546]",0:00:00.120477
1,miyazaki94,CART,grid search,RepeatedHoldOut,10,0.9743846628678244,0.04911225270524089,158.095,201279.60359911245,448.64195479147116,10.419230769230769,5.0,"{'model__max_depth': 5, 'model__max_features': 0.7}",-2781.2646969112566,"[-204.82045791870453, -272.5709307007928, -1540.7115157254361, -58101.0511, -23878.400703125, -7506.163979591837, -2166.285625, -466.1059504132231, -403.91034438775506, -116.17074074074075]","[-1776.6025, -4356.898108333333, -271.6721983506944, -4171.2771875, -425.9906809470663, -430.37782407407406, -221.95073518518515, -9897.75597222222, -1495.8764625, -4764.2453]",-9465.619134760349,-2781.2646969112566,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[157.0, 39.16153846153846, 37.95, 39.16153846153846, 170.0, 39.16153846153846, 39.16153846153846, 29.0, 39.16153846153846, 39.16153846153846]",0:00:00.252209
1,miyazaki94,CART,grid search,Bootstrap,10,0.6808144340981319,0.11909422383741819,149.56971428571427,186466.13750004538,431.8172501186647,12.492380952380955,12.0,"{'model__max_depth': 1, 'model__max_features': None}",-4826.5329702933495,"[-102.97552029136318, -368.2255046826224, -187.89146201873046, -19576.703083593482, -23626.92134444444, -4778.947350780532, -3202.41296875, -1922.139638397502, -413.2418098958333, -623.6595182291666]","[-6746.0131704152245, -7157.56960803369, -7964.349223053181, -10520.826111111111, -7241.238723707933, -684.9870535714286, -1051.0355629552548, -1231.9457653061224, -4439.048773448774, -556.4341180533752, -6024.834648760331, -7082.1466758494025, -618.0614627425044, -6942.438416827708, -2995.32, -747.2882049238742, -7223.385, -6272.199365244536, -9578.281096885814, -2821.3222571219876, -3889.385079365079, -9007.593089846603, -1622.950677231719, -388.9938892420711, -848.1072462585032, -6884.8857125925915, -8109.972022497704, -787.7433402203857, -6715.327079584777, -509.9622612244899, -8858.238759920636, -8128.7350000000015, -2369.3978433641973, -1136.0461181257015, -6363.7462888888895, -7886.116694711537, -924.5603210884353, -3483.6097203380987, -6508.841194153267, -526.0162500000001, -8337.228456101437, -2661.2968189300414, -864.3640376417234, -1248.1837066666665, -552.9833641975308, -1215.642617687075, -9989.311705761318, -6773.012722962962, -6517.825135054022, -2830.707655784683]",-5480.311820108366,-4476.790200949088,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[222.33333333333334, 39.34857142857143, 39.34857142857143, 39.34857142857143, 222.33333333333334, 39.34857142857143, 39.34857142857143, 39.34857142857143, 39.34857142857143, 39.34857142857143]",0:00:01.088184
0,miyazaki94,CART,random search,,10,1.0,0.2554910748124578,152.41000000000003,157594.271,396.9814491887499,17.45,26.0,"{'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",-9673.915250000002,"[-952.6299999999999, -545.01, -1725.6675, -58100.08750000001, -24089.362500000003, -637.485, -9009.2375, -1597.1525000000001, -45.903333333333286, -36.61666666666667]","[-952.6299999999999, -545.01, -1725.6675, -58100.08750000001, -24089.362500000003, -637.485, -9009.2375, -1597.1525000000001, -45.903333333333286, -36.61666666666667]",-9673.915250000002,-9673.915250000002,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[340.0, 37.0, 20.1, 27.5, 340.0, 31.5, 18.0, 36.9, 59.1, 48.0]",0:00:00.001000
1,miyazaki94,CART,random search,KFold,10,0.9370163662142137,0.2573988668758187,147.97235000000003,157190.43823282502,396.4724936648506,8.875749999999996,26.0,"{'model__max_depth': 4, 'model__max_features': 0.42939811886786894}",-2634.3735273787315,"[-172.17413832199531, -119.12075381598922, -1532.4275048490472, -6824.23, -7520.0161328125, -7842.750628544423, -1522.3999690082644, -443.6706973140496, -51.16184367887042, -315.78360544217685]","[-172.17413832199531, -119.12075381598922, -1532.4275048490472, -6824.23, -7520.0161328125, -7842.750628544423, -1522.3999690082644, -443.6706973140496, -51.16184367887042, -315.78360544217685]",-2634.3735273787315,-2634.3735273787315,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[89.5, 41.93600000000001, 14.9125, 41.93600000000001, 340.0, 41.93600000000001, 41.93600000000001, 41.93600000000001, 41.93600000000001, 41.93600000000001]",0:00:00.249409
1,miyazaki94,CART,random search,RepeatedKFold,10,0.9370163662142137,0.2573988668758187,147.97235000000003,157190.43823282502,396.4724936648506,8.875749999999996,26.0,"{'model__max_depth': 4, 'model__max_features': 0.42939811886786894}",-2374.8979229327783,"[-172.17413832199531, -119.12075381598922, -1532.4275048490472, -6824.23, -7520.0161328125, -7842.750628544423, -1522.3999690082644, -443.6706973140496, -51.16184367887042, -315.78360544217685]","[-489.8954861111112, -4814.265344926537, -653.076795990205, -1957.1128675900275, -192.7371024994749, -7545.863429752067, -280.0586734693876, -138.08155328798182, -10579.610885416667, -185.6725275482094, -8100.424367574897, -717.2021145124713, -7920.823090277778, -61.57501423089896, -1904.1427914744336, -388.4900510204082, -321.54344792243774, -487.80375000000004, -957.6830333333334, -253.774466905855, -92.72418873334458, -425.84309074042847, -547.0332980898971, -9821.640625, -7502.620902164268, -936.6641524943311, -516.7625346020761, -965.0950520833333, -415.3727835648148, -2073.3442666666665]",-2634.3735273787315,-2374.8979229327783,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[89.5, 41.93600000000001, 14.9125, 41.93600000000001, 340.0, 41.93600000000001, 41.93600000000001, 41.93600000000001, 41.93600000000001, 41.93600000000001]",0:00:00.727089
1,miyazaki94,CART,random search,HoldOut,10,0.9962784419331319,0.25717201480411167,150.285,157238.45725,396.5330468573836,16.55,26.0,"{'model__max_depth': 9, 'model__max_features': 0.3455361150896956}",-960.20873125,"[-24220.890000000003, -767.5005555555557, -1801.455, -6854.129999999999, -19966.940017361114, -1165.400625, -2094.43, -1659.2900000000002, -939.791875, -129.51000000000002]",[-960.20873125],-5959.933807291668,-960.20873125,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[340.0, 32.699999999999996, 36.9, 55.7, 340.0, 59.1, 47.75, 13.9, 32.699999999999996, 32.699999999999996]",0:00:00.054454
1,miyazaki94,CART,random search,RepeatedHoldOut,10,0.9709815807723762,0.04924456019937584,156.8,201251.59734911245,448.6107414553428,5.199999999999999,5.0,"{'model__max_depth': 4, 'model__max_features': 0.7185299851677596}",-2379.371687208705,"[-168.917414055326, -40.794132231404994, -1383.0976962809918, -58101.0511, -21702.363475617287, -939.4888281249999, -1074.490625, -539.6566836734694, -58.093686342592626, -62.94256666666667]","[-1664.6986827256944, -4310.057247959184, -101.08750529412865, -4174.616039030612, -218.6767811952814, -309.34390625000003, -107.93991791383223, -10987.640900051654, -892.4463541666667, -1027.2095375]",-8407.089620799274,-2379.371687208705,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[157.0, 39.16153846153846, 27.0, 39.16153846153846, 170.0, 39.16153846153846, 39.16153846153846, 27.0, 39.16153846153846, 39.16153846153846]",0:00:00.260221
1,miyazaki94,CART,random search,Bootstrap,10,0.8876327138804748,0.26018302919897185,146.36939393939392,156601.09938567493,395.72856781596516,13.584848484848482,26.0,"{'model__max_depth': 2, 'model__max_features': 0.7789631185585097}",-3464.388310394659,"[-50.96937574316292, -319.71368608799054, -2731.766943453561, -7935.140879904875, -21869.96461875, -1066.8154188345472, -1527.0167000000001, -202.88782500000002, -329.4943222222223, -499.2847222222222]","[-1672.76989744898, -476.65169614984427, -5806.099020393562, -7706.493498931623, -9158.473418130165, -6331.745788981482, -580.8323931623931, -6292.17540126953, -5691.890106272294, -537.1289792387544, -1223.5777777777778, -2393.373130333333, -575.4691129476582, -6657.0517250426155, -5641.269735894358, -435.62278213981665, -7051.2284532269705, -6603.479580860263, -768.2977910156249, -416.13177941026436, -4689.552708333333, -8089.67663723496, -1277.3062764003673, -2724.246738190851, -964.7591057513914, -7848.306598729054, -6750.018078646548, -962.8975219726561, -1313.126530238683, -2837.9724519230776, -2886.8617315204324, -514.3041708810222, -622.5304066051136, -1299.5390670120603, -6590.793997144743, -1086.338644897959, -2788.69312962963, -9633.523856568998, -9403.570625, -2237.440768175583, -940.3571922886804, -2570.520445153746, -1257.077865411104, -11103.719313247864, -2285.932683195592, -9080.73219219433, -7404.271046530052, -1179.2603373129248, -972.7076758494029, -7356.072199007228]",-3653.305449221858,-3893.8374412734947,"[212.0, 37.0, 20.6, 103.5, 1586.0, 42.3, 39.0, 23.0, 37.2, 54.0]","[122.16666666666667, 35.38484848484848, 35.38484848484848, 35.38484848484848, 340.0, 35.38484848484848, 35.38484848484848, 35.38484848484848, 35.38484848484848, 35.38484848484848]",0:00:01.017419
